"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.0883333333333333,0.015,0.1225,0,0.2125,0.144102564102564,0.0325,0.2,0,0.410499999999999,88.6666666666667,62.25,113.75,59.75,145.5,49.9375,35.75,60,17.8,84.05,4.33333333333333,3,5,3,6.5,4.32098765432099,3,6,2,6,0.266666666666667,0,0.525,0,0.675,0.213690476190476,0,0.3125,0,0.6,0.666666666666667,0.25,1,0,1,0.75609756097561,1,1,0,1
"2",0.118333333333333,0.0625,0.19,0.0125,0.235,0.155949367088608,0.045,0.2,0,0.483,87.6666666666667,57,115.75,52.75,145.5,47.6666666666667,34,60,14,84,5.33333333333333,5,5,5,6.5,4.32530120481928,3,5,2,6,0.158333333333333,0,0.2125,0,0.5125,0.191666666666667,0,0.3,0,0.5,0.666666666666667,0.25,1,0,1,0.80952380952381,1,1,0,1
"3",0.0733333333333333,0.0525,0.1,0.0125,0.1225,0.15175,0.0475,0.2025,0,0.4705,73.6666666666667,56,62.75,52.75,129,51.8888888888889,37,64,22,84,4.66666666666667,3.5,5,3,6.5,4.37037037037037,3,5,2,6,0.183333333333333,0,0.25,0,0.6,0.210119047619048,0,0.3125,0,0.684999999999999,0.833333333333333,1,1,0.25,1,0.75609756097561,1,1,0,1
"4",0.12,0.07,0.19,0.015,0.235,0.144487179487179,0.05,0.1975,0,0.463,88.3333333333333,60,115.75,53.75,145.5,46.3875,34.75,56.25,16.65,80.15,5,5,5,3.5,6.5,4.35365853658537,3,6,2,6,0.191666666666667,0,0.2875,0,0.525,0.193452380952381,0,0.3,0,0.584999999999999,0.666666666666667,0.25,1,0,1,0.734939759036145,0,1,0,1
"5",0.0966666666666667,0.0225,0.1375,0,0.2175,0.151481481481481,0.04,0.21,0,0.46,91.5,58.25,120.25,52.75,145.5,48.5609756097561,34.25,60,17.05,83.95,4.66666666666667,3.5,5,3,6.5,4.32530120481928,3,5,2,6,0.158333333333333,0,0.2125,0,0.5125,0.201190476190476,0,0.3,0,0.5,0.5,0,1,0,1,0.783132530120482,1,1,0,1
"6",0.0883333333333333,0.0125,0.135,0,0.2175,0.154556962025316,0.05,0.21,0,0.461,92,58.25,120.25,55,145.5,48.8625,35.75,60,21.75,83.05,4.66666666666667,3.5,5,3,6.5,4.47560975609756,3,6,2,6,0.175,0.025,0.2125,0,0.5125,0.204761904761905,0,0.3125,0,0.6,0.5,0,1,0,1,0.759036144578313,1,1,0,1
"7",0.08,0.05,0.1225,0.0125,0.145,0.155625,0.06,0.21,0,0.4035,73.1666666666667,55,62.75,53.5,129,49.1219512195122,36,60.75,14.15,83.8,5,5,5,3.5,6.5,4.57317073170732,3,6,3,6,0.2,0.025,0.225,0,0.5875,0.19702380952381,0,0.3,0,0.5,0.5,0,1,0,1,0.771084337349398,1,1,0,1
"8",0.106666666666667,0.0625,0.1375,0.0125,0.2175,0.146125,0.0475,0.2025,0,0.4605,83.8333333333333,53.5,112.5,52.25,145.5,51.1975308641975,36,64,18,84,5.33333333333333,5,5,5,6.5,4.38271604938272,3,5,2,6,0.166666666666667,0,0.225,0,0.5125,0.182142857142857,0,0.3,0,0.5,0.333333333333333,0,0.75,0,1,0.75609756097561,1,1,0,1
"9",0.09,0.05,0.1,0.0125,0.205,0.143625,0.0475,0.2,0,0.403,83.8333333333333,53.5,112.5,52.25,145.5,48.4444444444444,36,59,22,84,5.33333333333333,5,5,5,6.5,4.2289156626506,3,5,2,6,0.141666666666667,0,0.1375,0,0.4875,0.179761904761905,0,0.3,0,0.5,0.5,0,1,0,1,0.795180722891566,1,1,0,1
"10",0.0933333333333333,0.0525,0.1225,0.0125,0.1975,0.15873417721519,0.055,0.205,0,0.483,77.6666666666667,59.75,72.75,56,132.25,52.0864197530864,37,62,26,84,4.66666666666667,3.5,5,3,6.5,4.39506172839506,3,5,3,6,0.225,0.025,0.2875,0,0.6,0.183928571428571,0,0.3,0,0.584999999999999,0.833333333333333,1,1,0.25,1,0.792682926829268,1,1,0,1
"11",0.0833333333333333,0.05,0.09,0.0125,0.205,0.145189873417722,0.045,0.205,0,0.406,83.1666666666667,53.5,111.5,52.25,145.5,49.4567901234568,35,60,18,84,5,5,5,3.5,6.5,4.18518518518519,3,5,2,6,0.191666666666667,0.025,0.2625,0,0.525,0.205952380952381,0,0.3125,0,0.684999999999999,0.5,0,1,0,1,0.841463414634146,1,1,0,1
"12",0.11,0.0525,0.1875,0.0125,0.235,0.143950617283951,0.04,0.19,0,0.48,94,63.25,120.25,56,145.5,50.719512195122,35.25,61.75,18.2,84,4.66666666666667,3.5,5,3,6.5,4.21951219512195,3,5,2,6,0.225,0.1,0.2875,0.025,0.525,0.189880952380952,0,0.3,0,0.584999999999999,0.666666666666667,0.25,1,0,1,0.783132530120482,1,1,0,1
"13",0.0983333333333333,0.0675,0.1,0.015,0.205,0.16225,0.0575,0.23,0,0.4705,91.3333333333333,60,120.25,53.75,145.5,48.5975609756098,35,59.75,17.05,84,4.66666666666667,3.5,5,3,6.5,4.3780487804878,3,5,2.05,6,0.166666666666667,0,0.25,0,0.525,0.179166666666667,0,0.3,0,0.5,0.666666666666667,0.25,1,0,1,0.768292682926829,1,1,0,1
"14",0.133333333333333,0.0925,0.19,0.06,0.235,0.148354430379747,0.045,0.21,0,0.397,78.1666666666667,57,89.5,52.75,120.25,50.0123456790123,36,64,18,83,4.66666666666667,5,5,3.5,5,4.41463414634146,3,6,2,6,0.175,0.025,0.2125,0,0.5125,0.206547619047619,0,0.3,0,0.684999999999999,0.833333333333333,1,1,0.25,1,0.771084337349398,1,1,0,1
"15",0.133333333333333,0.07,0.1975,0.0525,0.235,0.146707317073171,0.0325,0.2,0,0.4795,72.1666666666667,56,72.5,52.75,115.75,50.2048192771084,35.5,61.5,18,84,4.33333333333333,3.5,5,3,5,4.31707317073171,3,5,2,6,0.325,0.1375,0.525,0.025,0.675,0.202380952380952,0.05,0.3,0,0.5,0.833333333333333,1,1,0.25,1,0.746987951807229,0.5,1,0,1
"16",0.0933333333333333,0.06,0.1,0.0125,0.19,0.15775,0.05,0.2,0,0.4815,81.8333333333333,57,89.5,52.75,136.75,50.6296296296296,35,61,18,84,5,5,5,3.5,6.5,4.47560975609756,3,6,2,6,0.075,0,0.1,0,0.2125,0.219047619047619,0,0.325,0,0.684999999999999,0.833333333333333,1,1,0.25,1,0.759036144578313,1,1,0,1
"17",0.0666666666666667,0.0525,0.0975,0.0125,0.1,0.146329113924051,0.055,0.185,0,0.399,79,56,86.25,52.75,136.75,47.8518518518519,34,59,14,84,4.66666666666667,3.5,5,3,6.5,4.42682926829268,3,5,2,6,0.0833333333333333,0,0.1,0,0.25,0.195833333333333,0,0.3,0,0.6,0.833333333333333,1,1,0.25,1,0.768292682926829,1,1,0,1
"18",0.131666666666667,0.1,0.1975,0.025,0.235,0.156125,0.04,0.21,0,0.4815,88.8333333333333,62.25,115.75,54.5,145.5,51.6543209876543,36,62,24,84,5,5,5,3.5,6.5,4.32530120481928,3,5,2,6,0.258333333333333,0,0.5125,0,0.675,0.206547619047619,0,0.3,0,0.584999999999999,0.666666666666667,0.25,1,0,1,0.746987951807229,0.5,1,0,1
