"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.0775,0.02,0.11,0.007,0.1295,0.0286428571428571,0,0.03,0,0.15,92.625,78,101.5,56.4,141.55,86.7,52,126,26,151,4.57142857142857,3.5,6,1.3,6,4.22857142857143,2,6,1,7,0.225,0,0.5,0,0.5,0.144287425149701,0,0.2,0,0.6,1,1,1,1,1,0.43125,0,1,0,1
"2",0.105,0.0875,0.1175,0.007,0.205,0.0267741935483871,0,0.03,0,0.14,99.125,84.5,106,74.8,141.55,90.8212121212121,53.25,149,26.9,151,5.14285714285714,5.5,6,2.2,6,4.09708737864078,2,6,1,7,0.3,0,0.5,0,0.565,0.153646706586826,0,0.25,0,0.65,0.875,1,1,0.35,1,0.440251572327044,0,1,0,1
"3",0.08125,0.06,0.11,0,0.1295,0.0270519480519481,0,0.03,0,0.1365,80.5,60.75,101.5,19.9,141.55,89.1090909090909,52.25,135.5,26.9,151,4.28571428571429,3,6,1.6,6,4.1747572815534,2,6,1,7,0.20625,0,0.35,0,0.5,0.137,0,0.2,0,0.6,1,1,1,1,1,0.449685534591195,0,1,0,1
"4",0.0675,0.015,0.11,0,0.1295,0.0294174757281553,0,0.03,0,0.15,78.375,58.5,95.5,19.9,141.55,88.0966767371601,52,138.5,25.5,151,4.375,2.5,6,1,6.65,4.20779220779221,2,6,1,7,0.175,0,0.275,0,0.5,0.142467065868263,0,0.2,0,0.6,1,1,1,1,1,0.479750778816199,0,1,0,1
"5",0.12125,0.0875,0.1425,0.007,0.267,0.027524115755627,0,0.03,0,0.135,88,69.25,95.5,52.55,141.55,91.1873111782477,54,149,26,151,5.14285714285714,5,6,2.9,6,4.27631578947368,2,6,1,7,0.33125,0,0.5,0,0.695,0.128934131736527,0,0.2,0,0.6,0.875,1,1,0.35,1,0.467084639498433,0,1,0,1
"6",0.07125,0.015,0.11,0,0.11,0.0263612903225806,0,0.03,0,0.1355,100.75,84.5,108.25,74.8,151,88.969696969697,50,141.5,26.9,151,5.28571428571429,5.5,6,2.2,6.7,4.08823529411765,2,6,1,7,0.225,0,0.5,0,0.5,0.147311377245509,0,0.24,0,0.6,1,1,1,1,1,0.482758620689655,0,1,0,1
"7",0.11875,0.11,0.14,0.0905,0.1465,0.0287378640776699,0,0.03,0,0.146,89.25,70.75,101.5,63.1,124,89.5558912386707,50,150.5,23,151,5.375,5,6,3.7,6,4.25081433224756,2,6,1,7,0.35,0.2625,0.5,0.0525,0.5,0.142838323353293,0,0.2,0,0.617499999999998,1,1,1,1,1,0.46031746031746,0,1,0,1
"8",0.0825,0.03,0.1175,0,0.1465,0.03185667752443,0,0.03,0,0.157,84.125,69.25,95.5,26.55,141.55,88.669696969697,52,138.75,26,151,4.57142857142857,4,6,1.6,6,4.29260450160772,2,6,1,7,0.25625,0,0.5,0,0.5,0.146700598802395,0,0.2,0,0.617499999999998,1,1,1,1,1,0.448275862068966,0,1,0,1
"9",0.05625,0,0.11,0,0.11,0.0283236245954693,0,0.03,0,0.146,93.5,70.75,102.25,55.95,151,87.809667673716,50,138,24.5,151,4.33333333333333,3,5.75,3,6,4.16774193548387,2,6,1,7,0.18125,0,0.275,0,0.5,0.136299401197605,0,0.2,0,0.6,1,1,1,1,1,0.473354231974922,0,1,0,1
"10",0.0575,0,0.11,0,0.1295,0.0283665594855305,0,0.03,0,0.15,97.625,70.75,130.75,55.95,151,89.0873493975904,53,140.5,25.55,151,4.42857142857143,3,6,1.6,6.7,4.28155339805825,3,6,1,7,0.15625,0,0.2375,0,0.5,0.137700598802395,0,0.2,0,0.6,1,1,1,1,1,0.429022082018927,0,1,0,1
"11",0.075,0.03,0.11,0,0.136,0.0275627009646302,0,0.03,0,0.14,78,65.5,88,26.55,131.05,91.8489425981873,54.5,149,24.5,151,4.14285714285714,3,5.5,1.6,6,4.13311688311688,2,6,1,7,0.1875,0,0.3125,0,0.4475,0.14385628742515,0,0.2,0,0.65,1,1,1,1,1,0.440993788819876,0,1,0,1
"12",0.07375,0.02,0.11,0.007,0.1295,0.0304299674267101,0,0.03,0,0.157,76.625,62.75,86,48.7,110.7,89.0060606060606,50,145,24,151,4,2.75,6,1.35,6,4.36421725239617,3,6,1,7,0.21875,0,0.5,0,0.5,0.132059880239521,0,0.2,0,0.6,1,1,1,1,1,0.442006269592476,0,1,0,1
"13",0.11125,0.06,0.12,0,0.267,0.0317955271565495,0,0.03,0,0.17,93.75,70.75,102.25,63.1,151,88.2990936555891,52,140,24.5,151,5.42857142857143,5,6,3.6,6.7,4.17363344051447,2,6,1,7,0.2875,0,0.5,0,0.695,0.143215568862275,0,0.2,0,0.6,0.875,1,1,0.35,1,0.478125,0,1,0,1
"14",0.09,0.03,0.1175,0,0.205,0.0265594855305466,0,0.03,0,0.13,105.5,81.75,130.75,68.75,151,90.2333333333333,52.25,151,25.45,151,5.14285714285714,4,6,3,6.7,4.2,2,6,1,7,0.21875,0,0.35,0,0.565,0.132658682634731,0,0.2,0,0.6,0.875,1,1,0.35,1,0.463492063492064,0,1,0,1
"15",0.075,0.015,0.1175,0,0.14,0.0302295081967213,0,0.03,0,0.15,95.25,70.75,124,55.95,141.55,86.0909090909091,50,131.5,24.45,151,4.28571428571429,3,6,1.6,6,4.3343949044586,3,6,1,7,0.19375,0,0.35,0,0.5,0.147784431137725,0,0.2,0,0.6,1,1,1,1,1,0.457680250783699,0,1,0,1
"16",0.0825,0.06,0.11,0,0.1295,0.0278129032258065,0,0.03,0,0.1455,85,70.75,95.5,28.65,141.55,90.9277108433735,52,146.5,25.55,151,4.71428571428571,4,6,1.6,6,4.16181229773463,2,6,1,7,0.26875,0,0.5,0,0.5,0.148802395209581,0,0.2,0,0.65,0.875,1,1,0.35,1,0.463722397476341,0,1,0,1
"17",0.10625,0.075,0.1175,0.021,0.205,0.0317741935483871,0,0.03,0,0.15,94.75,70.75,106,65.05,141.55,90.2719033232628,54,140,26,151,5.42857142857143,5.5,6,3.6,6,4.28938906752412,2,6,1,7,0.28125,0.1125,0.5,0,0.565,0.145814371257485,0,0.2075,0,0.65,0.875,1,1,0.35,1,0.433962264150943,0,1,0,1
