"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.33,0.1,0.22,0.052,0.988,0.258338983050847,0.07,0.35,0,0.833,46.6,34,60,27.6,62.4,35.6216216216216,26,44,14,60,5.2,5,6,4.2,6,4.63851351351351,4,5,3,6,0.5,0.2,0.9,0.12,0.98,0.239259259259259,0.1,0.35,0,0.7,1,1,1,1,1,0.74914089347079,0.5,1,0,1
"2",0.496,0.22,0.7,0.132,1.084,0.244779661016949,0.06,0.32,0,0.843,55.6,50,60,46.8,62.4,35.6351351351351,26,44,14,60,5.4,5,6,4.2,6,4.73310810810811,4,6,3,6,0.39,0.1,0.7,0.06,0.86,0.218047138047138,0.05,0.35,0,0.6,1,1,1,1,1,0.735395189003436,0,1,0,1
"3",0.406,0.18,0.27,0.14,0.998,0.240440677966102,0.065,0.32,0,0.707000000000001,43.6,34,48,30.8,57.6,35.8581081081081,26.75,43,16,60,4.8,4,6,3.2,6,4.70945945945946,4,6,3,6,0.35,0.05,0.7,0.01,0.86,0.237777777777778,0.05,0.4,0,0.611999999999999,1,1,1,1,1,0.73037542662116,0,1,0,1
"4",0.262,0.11,0.33,0.054,0.626,0.251220338983051,0.06,0.35,0,0.785000000000001,43,30,50,26.8,57.2,35.3918918918919,26,43,16,56.5,5.2,5,6,3.4,6,4.66216216216216,4,5,3,6,0.36,0.2,0.6,0.04,0.68,0.224074074074074,0.05,0.35,0,0.6,1,1,1,1,1,0.73037542662116,0,1,0,1
"5",0.494,0.22,0.7,0.076,1.084,0.261790540540541,0.06,0.36,0,0.8625,51.6,50,60,30.8,62.4,36.3918918918919,26,44.25,15,61,5.4,5,6,4.2,6,4.64189189189189,4,5,3,6,0.52,0.3,0.7,0.14,0.86,0.227710437710438,0.05,0.4,0,0.6,1,1,1,1,1,0.719178082191781,0,1,0,1
"6",0.328,0.11,0.22,0.022,0.988,0.255506756756757,0.06,0.35,0,0.86,47.6,37,60,29.8,62.4,35.8282828282828,26,44,14,60,5,4,6,4,6,4.69023569023569,4,6,3,6,0.28,0.1,0.2,0.06,0.76,0.238215488215488,0.05,0.4,0,0.7,0.8,1,1,0.2,1,0.717241379310345,0,1,0,1
"7",0.358,0.11,0.33,0.054,1.01,0.253141891891892,0.05,0.33,0,0.86,42.8,28,50,26.4,58,36.037037037037,27,44,16,60,5.6,5,6,5,6,4.64983164983165,4,5,3,6,0.43,0.2,0.6,0.16,0.84,0.236363636363636,0.1,0.4,0,0.668,0.8,1,1,0.2,1,0.731034482758621,0,1,0,1
"8",0.432,0.11,0.7,0.054,1.084,0.249087837837838,0.0575,0.33,0,0.83,45,30,59,26.8,59.8,36.1212121212121,26,44,15,60,5.2,5,6,3.4,6,4.7003367003367,4,6,3,6,0.42,0.2,0.7,0.04,0.86,0.22952861952862,0.1,0.35,0,0.6,1,1,1,1,1,0.719178082191781,0,1,0,1
"9",0.376,0.13,0.33,0.114,1.01,0.245457627118644,0.07,0.33,0,0.788000000000001,43.6,30,50,28.4,58,36.0439189189189,26,44,14.75,60.25,5.2,5,6,3.4,6,4.69594594594595,4,5,3,6,0.37,0.15,0.6,0.03,0.84,0.223973063973064,0.05,0.35,0,0.611999999999999,0.8,1,1,0.2,1,0.757679180887372,1,1,0,1
"10",0.472,0.11,0.7,0.054,1.084,0.250677966101695,0.065,0.33,0,0.836,49,50,59,30.8,59.8,35.9898648648649,26,44,14,60,5.8,6,6,5.2,6,4.67905405405405,4,6,3,6,0.54,0.3,0.7,0.22,0.86,0.228989898989899,0.1,0.4,0,0.609999999999999,1,1,1,1,1,0.762886597938144,1,1,0,1
"11",0.35,0.13,0.27,0.058,0.998,0.253016949152542,0.06,0.33,0,0.86,35.6,28,34,26.4,54.8,35.6081081081081,26,44,15,60,5,5,6,3.4,6,4.68918918918919,4,6,3,6,0.41,0.15,0.7,0.03,0.86,0.22996632996633,0.1,0.35,0,0.6,0.8,1,1,0.2,1,0.762886597938144,1,1,0,1
"12",0.314,0.04,0.22,0.008,0.988,0.256610169491525,0.065,0.335,0,0.843,42.8,28,60,26.4,62.4,35.652027027027,26,44,15,56,4.8,4,5,4,5.8,4.66216216216216,4,5,3,6,0.3,0.1,0.3,0.06,0.78,0.223063973063973,0.05,0.35,0,0.609999999999999,0.8,1,1,0.2,1,0.724489795918367,0,1,0,1
"13",0.396,0.22,0.27,0.076,0.998,0.248033898305085,0.05,0.33,0,0.846,45.8,34,60,27.6,62.4,36.0202702702703,26,45,16,61,5.2,5,6,4.2,6,4.64864864864865,4,6,3,6,0.41,0.1,0.7,0.06,0.86,0.232053872053872,0.05,0.4,0,0.652,1,1,1,1,1,0.732876712328767,0,1,0,1
"14",0.316,0.1,0.13,0.052,0.97,0.254508474576271,0.05,0.35,0,0.839,35.6,28,34,26.4,54.8,36.0675675675676,26,44,15,60,4.8,5,5,3.4,5.8,4.70608108108108,4,6,3,6,0.47,0.15,0.9,0.03,0.98,0.231885521885522,0.1,0.4,0,0.652,0.8,1,1,0.2,1,0.713310580204778,0,1,0,1
"15",0.182,0.13,0.22,0.114,0.26,0.259694915254237,0.065,0.33,0,0.863,47,46,50,31.6,60.4,36.2128378378378,26,45,14.75,61,4.8,4,5,4,5.8,4.69932432432432,4,6,3,6,0.12,0.1,0.15,0.06,0.19,0.236228956228956,0.1,0.4,0,0.652,0.8,1,1,0.2,1,0.735395189003436,0,1,0,1
"16",0.38,0.13,0.33,0.058,1.01,0.258378378378378,0.0775,0.3325,0,0.835,45.4,28,60,26.4,62.4,36.3400673400673,26,46,14,60.2,5.2,5,6,4.2,6,4.74074074074074,4,6,3,6,0.41,0.15,0.6,0.11,0.84,0.238282828282828,0.1,0.35,0,0.7,0.8,1,1,0.2,1,0.742268041237113,0,1,0,1
"17",0.336,0.04,0.33,0.008,1.01,0.245322033898305,0.055,0.325,0,0.833,40.6,30,50,26.8,58,35.9864864864865,26,44,14.75,59.25,4.8,4,6,3.2,6,4.6722972972973,4,6,3,6,0.37,0.05,0.6,0.01,0.84,0.228249158249158,0.05,0.4,0,0.6,1,1,1,1,1,0.747440273037543,0,1,0,1
"18",0.364,0.11,0.27,0.054,0.998,0.254527027027027,0.0575,0.3425,0,0.8425,49,46,60,30,62.4,36.3716216216216,26,44,15.75,61,5.2,5,6,4.2,6,4.69932432432432,4,6,3,6,0.31,0.1,0.3,0.06,0.78,0.217744107744108,0.05,0.3,0,0.6,1,1,1,1,1,0.745704467353952,0,1,0,1
"19",0.25,0.11,0.27,0.054,0.614,0.267830508474576,0.075,0.35,0,0.863,42.2,30,50,26.8,57.2,35.8412162162162,26,44,14,60.25,5,5,6,3.4,6,4.7027027027027,4,6,3,6,0.25,0.05,0.3,0.01,0.62,0.236094276094276,0.1,0.35,0,0.652,1,1,1,1,1,0.726027397260274,0,1,0,1
