"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.1125,0.075,0.1425,0.015,0.2205,0.0293586956521739,0,0.03,0,0.1485,94.75,75,112.75,48.6,143.35,86.1890547263682,46,132,23,151,5,4.5,6,3.3,6,4.51041666666667,3,6,1,7,0.325,0.15,0.525,0.03,0.585,0.173960396039604,0,0.3,0,0.647499999999999,0.75,0.75,1,0.15,1,0.487309644670051,0,1,0,1
"2",0.1125,0.075,0.1425,0.015,0.2205,0.0352222222222222,0,0.0325,0,0.1905,94.75,75,112.75,48.6,143.35,85.0804020100502,46,130,24,151,5,4.5,6,3.3,6,4.52083333333333,3,6,1,7,0.325,0.15,0.525,0.03,0.585,0.182415841584158,0,0.3,0,0.7,0.75,0.75,1,0.15,1,0.474489795918367,0,1,0,1
"3",0.095,0.03,0.135,0.006,0.219,0.0335865921787709,0,0.03,0,0.172,94.5,74.25,112.75,48.45,143.35,86.8787878787879,48,131.5,24,151,4,3,4.5,3,5.7,4.53157894736842,3,6,1,7,0.25,0.15,0.3,0.03,0.54,0.170039603960396,0,0.25,0,0.7,0.75,0.75,1,0.15,1,0.462311557788945,0,1,0,1
"4",0.15,0.09,0.165,0.066,0.297,0.0305197740112994,0,0.03,0,0.154,67,58.5,78.5,45.3,84.5,88.4020100502513,48,138,23.9,151,5.25,5.25,6,3.45,6,4.63020833333333,3,6,1,7,0.425,0.2,0.575,0.2,0.755,0.17690099009901,0,0.2875,0,0.7,0.75,0.75,1,0.15,1,0.471794871794872,0,1,0,1
"5",0.08,0.075,0.11,0.015,0.11,0.0315195530726257,0,0.03,0,0.152,91.25,75,102.25,48.6,141.25,83.1859296482412,46,126,21.9,151,5,4.5,6,3.3,6,4.55729166666667,3,6,1,7,0.3,0.15,0.5,0.03,0.5,0.172980198019802,0,0.2875,0,0.7,1,1,1,1,1,0.482412060301508,0,1,0,1
"6",0.08,0.075,0.11,0.015,0.11,0.0303932584269663,0,0.03,0,0.1445,91.25,75,102.25,48.6,141.25,85.0050251256281,46,129,23.9,151,5,4.5,6,3.3,6,4.46596858638743,3,6,1,7,0.3,0.15,0.5,0.03,0.5,0.164594059405941,0,0.25,0,0.7,1,1,1,1,1,0.466666666666667,0,1,0,1
"7",0.1175,0.03,0.1575,0.006,0.2955,0.0287570621468927,0,0.03,0,0.132,88.5,67.5,101.5,47.1,141.1,83.3517587939699,46,124,23,151,4,3,4.5,3,5.7,4.53125,3,6,1,7,0.3,0.15,0.35,0.03,0.71,0.171524752475248,0,0.3,0,0.7,0.75,0.75,1,0.15,1,0.474489795918367,0,1,0,1
"8",0.1625,0.1075,0.165,0.1015,0.297,0.0276516853932584,0,0.0275,0,0.1415,72.5,67.5,86,47.1,86,85.040404040404,46,131.5,22.85,151,5.25,5.25,6,3.45,6,4.55497382198953,3,6,1,7,0.5,0.425,0.575,0.245,0.755,0.169544554455446,0,0.3,0,0.65,0.75,0.75,1,0.15,1,0.474489795918367,0,1,0,1
"9",0.1275,0.09,0.1425,0.066,0.2205,0.0304044943820225,0,0.03,0,0.153,73,58.5,89.5,45.3,97.9,86.81,48,130,23.95,151,5.25,5.25,6,3.45,6,4.67857142857143,3,7,1,7,0.375,0.2,0.525,0.2,0.585,0.173831683168317,0,0.3,0,0.697499999999999,0.75,0.75,1,0.15,1,0.464646464646465,0,1,0,1
"10",0.1125,0.075,0.1425,0.015,0.2205,0.0286703910614525,0,0.03,0,0.123,94.75,75,112.75,48.6,143.35,86.4120603015075,47,133,22.9,151,5,4.5,6,3.3,6,4.42857142857143,3,6,1,7,0.325,0.15,0.525,0.03,0.585,0.186831683168317,0,0.3,0,0.7,0.75,0.75,1,0.15,1,0.467005076142132,0,1,0,1
"11",0.1125,0.075,0.1425,0.015,0.2205,0.0313595505617978,0,0.03,0,0.17,94.75,75,112.75,48.6,143.35,87.2171717171717,49,135.5,23,151,5,4.5,6,3.3,6,4.64736842105263,3,7,1,7,0.325,0.15,0.525,0.03,0.585,0.165910891089109,0,0.25,0,0.7,0.75,0.75,1,0.15,1,0.448979591836735,0,1,0,1
"12",0.08,0.075,0.11,0.015,0.11,0.0281222222222222,0,0.03,0,0.151,91.25,75,102.25,48.6,141.25,86.3232323232323,46.5,131.5,22.85,151,5,4.5,6,3.3,6,4.47894736842105,3,6,1,7,0.3,0.15,0.5,0.03,0.5,0.160138613861386,0,0.25,0,0.647499999999999,1,1,1,1,1,0.476923076923077,0,1,0,1
"13",0.145,0.085,0.165,0.049,0.297,0.0333259668508287,0,0.03,0,0.17,72.25,67.5,85.25,47.1,85.85,86.3838383838384,49,130,24.85,151,4.5,3,6,3,6,4.67692307692308,3,6.5,1,7,0.425,0.2,0.575,0.2,0.755,0.175980198019802,0,0.25,0,0.7,0.75,0.75,1,0.15,1,0.476923076923077,0,1,0,1
"14",0.135,0.075,0.165,0.015,0.297,0.0262824858757062,0,0.02,0,0.142,88.75,67.5,102.25,47.1,141.25,85.6262626262626,46,129.5,23.85,151,5,4.5,6,3.3,6,4.58031088082902,3,7,1,7,0.375,0.15,0.575,0.03,0.755,0.17870297029703,0,0.3,0,0.7,0.75,0.75,1,0.15,1,0.454545454545455,0,1,0,1
"15",0.065,0.03,0.11,0.006,0.11,0.0334943820224719,0,0.03,0,0.1745,102,85.75,102.25,85.15,141.25,85.3366834170854,46,130,22.9,151,5,4.5,6,3.3,6,4.55263157894737,3,6,1,7,0.3,0.15,0.5,0.03,0.5,0.155683168316832,0,0.2,0,0.65,1,1,1,1,1,0.472081218274112,0,1,0,1
"16",0.1125,0.075,0.1425,0.015,0.2205,0.0336629213483146,0,0.03,0,0.173,94.75,75,112.75,48.6,143.35,85.7688442211055,48,126,24.9,151,5,4.5,6,3.3,6,4.48167539267016,3,6,1,7,0.325,0.15,0.525,0.03,0.585,0.168029702970297,0,0.25,0,0.65,0.75,0.75,1,0.15,1,0.464285714285714,0,1,0,1
"17",0.0625,0.03,0.1025,0.006,0.1085,0.0296590909090909,0,0.03,0,0.14,91,74.25,102.25,48.45,141.25,87.537688442211,48,138.5,22.9,151,4,3,4.5,3,5.7,4.64397905759162,3,7,1,7,0.225,0.15,0.275,0.03,0.455,0.167891089108911,0,0.2875,0,0.697499999999999,1,1,1,1,1,0.459183673469388,0,1,0,1
"18",0.135,0.075,0.165,0.015,0.297,0.0336808510638298,0,0.03,0,0.183,88.75,67.5,102.25,47.1,141.25,85.0298507462687,46,132,23,151,5,4.5,6,3.3,6,4.5699481865285,3,6,1,7,0.375,0.15,0.575,0.03,0.755,0.179940594059406,0,0.3,0,0.7,0.75,0.75,1,0.15,1,0.459183673469388,0,1,0,1
