"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1","BB","WB","Active","RI",6,5,203,0.226,0.117,0.32,0.055,0.42,0.203,0.044,0.309,0,0.599,27.888,22.638,32.132,20.049,37.137,22.823,15.001,28.883,6.096,46.135,5.403,5.153,5.604,5.031,5.843,5.01,4.014,5.996,4,6.223,0.227,0.102,0.331,0.034,0.447,0.218,0.013,0.349,0,0.625,0.398,0.149,0.597,0.03,0.835,0.627,0,1,0,1
"2","BB","WB","Active","PO",44,19,273,0.023,0,0.034,0,0.08,0.028,0,0.042,0,0.102,84.492,59.74,104.016,40.018,145.829,70.103,35.687,96.243,18.364,151,4.587,3.882,5.61,1.679,6.584,4.474,3.611,5.977,1.002,7,0.154,0.001,0.257,0,0.5,0.095,0,0.119,0,0.46,0.685,0.314,1,0.006,1,0.616,0,1,0,1
"3","BB","WB","Active","RU",5,3,44,0.03,0.017,0.044,0.006,0.055,0.151,0.058,0.165,0.002,0.502,58.035,56.161,59.908,54.662,61.407,40.482,25.145,54.576,11.644,74.432,5.112,4.831,5.392,4.606,5.617,5.412,5,6.491,3.013,7,0.221,0.193,0.249,0.17,0.271,0.127,0,0.202,0,0.461,0.773,0.659,0.886,0.569,0.977,0.462,0,1,0,1
"4","BB","WB","Inactive","RI",11,11,197,0.118,0.039,0.125,0.012,0.361,0.274,0.039,0.381,0,0.892,32.184,25.58,39.544,20.575,42.642,29.766,20.933,36.912,12.996,49.573,4.547,4.221,5,3.541,5,5.109,5,5.979,3.983,6.553,0.114,0.002,0.165,0,0.34,0.23,0.045,0.347,0,0.691,0.5,0.03,0.969,0,1,0.676,0,1,0,1
"5","BB","WB","Inactive","PO",26,16,201,0.057,0,0.086,0,0.202,0.03,0,0.039,0,0.139,83.549,49.985,120.236,36.738,150.042,82.045,40.425,150.046,21.928,151,4.1,3.071,5.27,1.314,5.911,3.941,2.408,5,1,7,0.15,0,0.233,0,0.518,0.037,0,0,0,0.205,0.655,0.225,1,0.003,1,0.672,0,1,0,1
"6","BB","WB","Inactive","RU",17,14,127,0.144,0.037,0.203,0.014,0.389,0.159,0.027,0.22,0,0.529,50.861,41.167,58.944,32.249,68.034,45.206,30.55,55.333,15.678,81.714,5.108,4.739,5.571,3.719,6.547,4.873,4.04,5.534,2.787,6.999,0.107,0.001,0.131,0,0.383,0.101,0,0.145,0,0.441,0.714,0.451,1,0.03,1,0.481,0,1,0,1
"7","BB","WC","Active","RI",37,10,618,0.173,0.055,0.228,0.015,0.446,0.222,0.051,0.299,0,0.734,41.498,34.674,48.852,26.221,56.61,32.364,23.997,41.585,12.01,52.091,4.603,4.23,5.07,3.434,5.427,4.756,4,6,3,6,0.172,0.051,0.234,0.012,0.442,0.268,0.1,0.4,0,0.703,0.645,0.349,0.984,0.074,0.999,0.737,0.118,1,0,1
"8","BB","WC","Active","PO",31,10,437,0.053,0.029,0.069,0.01,0.1,0.029,0,0.03,0,0.144,87.054,64.982,105.203,52.133,134.403,87.85,51.302,135.089,24.689,151,3.105,1.475,4.436,1.066,5.774,4.324,2.562,6.072,1,7,0.179,0.015,0.274,0.001,0.507,0.148,0,0.216,0,0.632,0.559,0.174,0.954,0.021,0.997,0.464,0,1,0,1
"9","BB","WC","Active","RU",14,9,95,0.13,0.091,0.172,0.034,0.214,0.136,0.04,0.177,0,0.362,64.612,54.376,67.075,48.953,89.683,45.181,32.194,57.559,13.561,78.588,4.423,3.495,5.447,2.714,5.865,4.667,3.435,5.838,2.683,6,0.165,0.045,0.269,0.007,0.333,0.22,0.022,0.349,0,0.66,0.764,0.661,1,0.238,1,0.753,0.588,1,0,1
"10","BB","WC","Inactive","RI",14,10,145,0.262,0.129,0.344,0.03,0.532,0.349,0.165,0.468,0.016,0.886,48.642,37.642,58.983,31.398,65.912,40.873,30.619,49.127,21.433,64.831,5.301,4.983,5.981,3.794,5.999,4.809,4.081,5.992,2.727,6,0.377,0.222,0.54,0.086,0.66,0.253,0.097,0.395,0,0.651,0.735,0.565,0.999,0.16,1,0.654,0,1,0,1
"11","BB","WC","Inactive","PO",9,7,90,0.042,0.002,0.063,0,0.111,0.055,0,0.068,0,0.255,95.106,59.846,129.846,55.591,145.848,97.626,61.64,150.968,35.7,151,3.281,2.032,3.95,1.285,5.851,3.477,1.005,5.013,1,6.771,0.022,0,0.012,0,0.08,0.105,0,0.201,0,0.429,0.572,0.142,1,0.028,1,0.48,0,1,0,1
"12","BB","WC","Inactive","RU",4,4,36,0.075,0,0.112,0,0.202,0.192,0.064,0.26,0.003,0.517,122.327,107.99,151,73.582,151,60.134,41.013,73.796,34.152,99.963,NA,NA,NA,NA,NA,3.656,3,4.985,1.055,5.956,0,0,0,0,0,0.149,0,0.266,0,0.445,NA,NA,NA,NA,NA,0.8,0.912,1,0.003,1
"13","DS","WB","Active","RI",18,13,215,0.262,0.137,0.284,0.107,0.612,0.203,0.044,0.309,0,0.599,31.545,20.682,41.33,14.184,54.093,22.826,14.996,28.887,6.123,46.159,5.437,5.003,5.924,5,5.997,5.01,4.015,5.997,4,6.216,0.319,0.095,0.493,0.018,0.788,0.218,0.013,0.35,0,0.624,0.691,0.349,1,0.021,1,0.628,0,1,0,1
"14","DS","WB","Active","PO",18,11,247,0.026,0.001,0.04,0,0.078,0.028,0,0.042,0,0.102,78.802,57.885,95.702,36.597,129.033,70.085,35.662,96.247,18.319,151,4.084,3.395,4.958,2.04,5.593,4.474,3.607,5.978,1.002,7,0.273,0.114,0.367,0.027,0.616,0.095,0,0.119,0,0.459,0.636,0.25,1,0.018,1,0.617,0,1,0,1
"15","DS","WB","Active","RU",8,8,47,0.126,0.075,0.168,0.035,0.24,0.151,0.057,0.166,0.002,0.504,53.002,38.959,54.396,33.28,93.594,40.503,25.154,54.637,11.648,74.51,5.629,5.055,6.357,4.443,6.862,5.412,5,6.5,3.015,7,0.213,0.011,0.381,0,0.537,0.127,0,0.202,0,0.461,0.748,0.592,1,0.14,1,0.462,0,1,0,1
"16","DS","WB","Inactive","RI",20,15,206,0.38,0.025,0.431,0.001,1.411,0.274,0.039,0.381,0,0.892,30.482,23.947,36.755,20.683,44.646,29.774,20.936,36.914,12.993,49.591,4.934,4.524,5.479,3.661,5.972,5.108,4.999,5.98,3.983,6.549,0.301,0.141,0.41,0.02,0.648,0.23,0.045,0.348,0,0.692,0.821,0.879,1,0.162,1,0.676,0,1,0,1
"17","DS","WB","Inactive","PO",12,11,187,0.024,0,0.011,0,0.114,0.03,0,0.039,0,0.139,120.375,96.371,151,51.923,151,82.041,40.454,150.101,21.916,151,4.15,2.671,5.565,1.473,6.448,3.942,2.411,5,1,7,0.163,0,0.205,0,0.626,0.037,0,0.001,0,0.204,0.773,0.706,1,0.132,1,0.673,0,1,0,1
"18","DS","WB","Inactive","RU",10,9,120,0.1,0.053,0.141,0.017,0.181,0.159,0.028,0.22,0,0.529,56.829,49.699,67.04,36.181,72.914,45.19,30.55,55.296,15.641,81.682,4.783,4.059,5.313,3.278,6.298,4.873,4.039,5.537,2.784,6.999,0.166,0.033,0.251,0.004,0.407,0.101,0,0.145,0,0.441,0.443,0.029,0.862,0,0.988,0.481,0,1,0,1
