Species,Species_Abb,Stream,Stream_Abb,Group,Group_Abb,Mesohabitat,Mesohabitat_Abb
Black Bass,BB,Beaver,WB,"April,May,June,July,September,October",Active,Riffle,RI
Black Bass,BB,Beaver,WB,"April,May,June,July,September,October",Active,Pool,PO
Black Bass,BB,Beaver,WB,"April,May,June,July,September,October",Active,Run,RU
Black Bass,BB,Beaver,WB,"November,December,January,February,March",Inactive,Riffle,RI
Black Bass,BB,Beaver,WB,"November,December,January,February,March",Inactive,Pool,PO
Black Bass,BB,Beaver,WB,"November,December,January,February,March",Inactive,Run,RU
Black Bass,BB,Clear,WC,"April,May,June,July,September,October",Active,Riffle,RI
Black Bass,BB,Clear,WC,"April,May,June,July,September,October",Active,Pool,PO
Black Bass,BB,Clear,WC,"April,May,June,July,September,October",Active,Run,RU
Black Bass,BB,Clear,WC,"November,December,January,February,March",Inactive,Riffle,RI
Black Bass,BB,Clear,WC,"November,December,January,February,March",Inactive,Pool,PO
Black Bass,BB,Clear,WC,"November,December,January,February,March",Inactive,Run,RU
Desert Sucker,DS,Beaver,WB,"April,May,June,July,September,October",Active,Riffle,RI
Desert Sucker,DS,Beaver,WB,"April,May,June,July,September,October",Active,Pool,PO
Desert Sucker,DS,Beaver,WB,"April,May,June,July,September,October",Active,Run,RU
Desert Sucker,DS,Beaver,WB,"November,December,January,February,March",Inactive,Riffle,RI
Desert Sucker,DS,Beaver,WB,"November,December,January,February,March",Inactive,Pool,PO
Desert Sucker,DS,Beaver,WB,"November,December,January,February,March",Inactive,Run,RU
Desert Sucker,DS,Clear,WC,"April,May,June,July,September,October",Active,Riffle,RI
Desert Sucker,DS,Clear,WC,"April,May,June,July,September,October",Active,Pool,PO
Desert Sucker,DS,Clear,WC,"April,May,June,July,September,October",Active,Run,RU
Desert Sucker,DS,Clear,WC,"November,December,January,February,March",Inactive,Riffle,RI
Desert Sucker,DS,Clear,WC,"November,December,January,February,March",Inactive,Pool,PO
Desert Sucker,DS,Clear,WC,"November,December,January,February,March",Inactive,Run,RU
Black Bass,BB,Beaver,WB,"April,May,June",Spawn,Riffle,RI
Black Bass,BB,Beaver,WB,"April,May,June",Spawn,Pool,PO
Black Bass,BB,Beaver,WB,"April,May,June",Spawn,Run,RU
Black Bass,BB,Beaver,WB,"January,February,March,July,September,October,November,December",NonSpawn,Riffle,RI
Black Bass,BB,Beaver,WB,"January,February,March,July,September,October,November,December",NonSpawn,Pool,PO
Black Bass,BB,Beaver,WB,"January,February,March,July,September,October,November,December",NonSpawn,Run,RU
Black Bass,BB,Clear,WC,"April,May,June",Spawn,Riffle,RI
Black Bass,BB,Clear,WC,"April,May,June",Spawn,Pool,PO
Black Bass,BB,Clear,WC,"April,May,June",Spawn,Run,RU
Black Bass,BB,Clear,WC,"January,February,March,July,September,October,November,December",NonSpawn,Riffle,RI
Black Bass,BB,Clear,WC,"January,February,March,July,September,October,November,December",NonSpawn,Pool,PO
Black Bass,BB,Clear,WC,"January,February,March,July,September,October,November,December",NonSpawn,Run,RU
Desert Sucker,DS,Beaver,WB,"April,May,June",Spawn,Riffle,RI
Desert Sucker,DS,Beaver,WB,"April,May,June",Spawn,Pool,PO
Desert Sucker,DS,Beaver,WB,"April,May,June",Spawn,Run,RU
Desert Sucker,DS,Beaver,WB,"January,February,March,July,September,October,November,December",NonSpawn,Riffle,RI
Desert Sucker,DS,Beaver,WB,"January,February,March,July,September,October,November,December",NonSpawn,Pool,PO
Desert Sucker,DS,Beaver,WB,"January,February,March,July,September,October,November,December",NonSpawn,Run,RU
Desert Sucker,DS,Clear,WC,"April,May,June",Spawn,Riffle,RI
Desert Sucker,DS,Clear,WC,"April,May,June",Spawn,Pool,PO
Desert Sucker,DS,Clear,WC,"April,May,June",Spawn,Run,RU
Desert Sucker,DS,Clear,WC,"January,February,March,July,September,October,November,December",NonSpawn,Riffle,RI
Desert Sucker,DS,Clear,WC,"January,February,March,July,September,October,November,December",NonSpawn,Pool,PO
Desert Sucker,DS,Clear,WC,"January,February,March,July,September,October,November,December",NonSpawn,Run,RU
Black Bass,BB,Beaver,WB,"January,February,March",High,Riffle,RI
Black Bass,BB,Beaver,WB,"January,February,March",High,Pool,PO
Black Bass,BB,Beaver,WB,"January,February,March",High,Run,RU
Black Bass,BB,Beaver,WB,"April,May,June,July,September,October,November,December",Low,Riffle,RI
Black Bass,BB,Beaver,WB,"April,May,June,July,September,October,November,December",Low,Pool,PO
Black Bass,BB,Beaver,WB,"April,May,June,July,September,October,November,December",Low,Run,RU
Black Bass,BB,Clear,WC,"January,February,March",High,Riffle,RI
Black Bass,BB,Clear,WC,"January,February,March",High,Pool,PO
Black Bass,BB,Clear,WC,"January,February,March",High,Run,RU
Black Bass,BB,Clear,WC,"April,May,June,July,September,October,November,December",Low,Riffle,RI
Black Bass,BB,Clear,WC,"April,May,June,July,September,October,November,December",Low,Pool,PO
Black Bass,BB,Clear,WC,"April,May,June,July,September,October,November,December",Low,Run,RU
Desert Sucker,DS,Beaver,WB,"January,February,March",High,Riffle,RI
Desert Sucker,DS,Beaver,WB,"January,February,March",High,Pool,PO
Desert Sucker,DS,Beaver,WB,"January,February,March",High,Run,RU
Desert Sucker,DS,Beaver,WB,"April,May,June,July,September,October,November,December",Low,Riffle,RI
Desert Sucker,DS,Beaver,WB,"April,May,June,July,September,October,November,December",Low,Pool,PO
Desert Sucker,DS,Beaver,WB,"April,May,June,July,September,October,November,December",Low,Run,RU
Desert Sucker,DS,Clear,WC,"January,February,March",High,Riffle,RI
Desert Sucker,DS,Clear,WC,"January,February,March",High,Pool,PO
Desert Sucker,DS,Clear,WC,"January,February,March",High,Run,RU
Desert Sucker,DS,Clear,WC,"April,May,June,July,September,October,November,December",Low,Riffle,RI
Desert Sucker,DS,Clear,WC,"April,May,June,July,September,October,November,December",Low,Pool,PO
Desert Sucker,DS,Clear,WC,"April,May,June,July,September,October,November,December",Low,Run,RU
Black Bass,BB,Beaver,WB,"January,February,March,April,May,June,July,September,October,November,December",All,Riffle,RI
Black Bass,BB,Beaver,WB,"January,February,March,April,May,June,July,September,October,November,December",All,Pool,PO
Black Bass,BB,Beaver,WB,"January,February,March,April,May,June,July,September,October,November,December",All,Run,RU
Black Bass,BB,Clear,WC,"January,February,March,April,May,June,July,September,October,November,December",All,Riffle,RI
Black Bass,BB,Clear,WC,"January,February,March,April,May,June,July,September,October,November,December",All,Pool,PO
Black Bass,BB,Clear,WC,"January,February,March,April,May,June,July,September,October,November,December",All,Run,RU
Desert Sucker,DS,Beaver,WB,"January,February,March,April,May,June,July,September,October,November,December",All,Riffle,RI
Desert Sucker,DS,Beaver,WB,"January,February,March,April,May,June,July,September,October,November,December",All,Pool,PO
Desert Sucker,DS,Beaver,WB,"January,February,March,April,May,June,July,September,October,November,December",All,Run,RU
Desert Sucker,DS,Clear,WC,"January,February,March,April,May,June,July,September,October,November,December",All,Riffle,RI
Desert Sucker,DS,Clear,WC,"January,February,March,April,May,June,July,September,October,November,December",All,Pool,PO
Desert Sucker,DS,Clear,WC,"January,February,March,April,May,June,July,September,October,November,December",All,Run,RU
