Species,Species_Abb,Stream,Stream_Abb,Group,Group_Abb,Mesohabitat,Mesohabitat_Abb
Available,AV,Beaver,WB,"April,May,June,July,September,October",Active,Riffle,RI
Available,AV,Beaver,WB,"April,May,June,July,September,October",Active,Pool,PO
Available,AV,Beaver,WB,"April,May,June,July,September,October",Active,Run,RU
Available,AV,Beaver,WB,"November,December,January,February,March",Inactive,Riffle,RI
Available,AV,Beaver,WB,"November,December,January,February,March",Inactive,Pool,PO
Available,AV,Beaver,WB,"November,December,January,February,March",Inactive,Run,RU
Available,AV,Clear,WC,"April,May,June,July,September,October",Active,Riffle,RI
Available,AV,Clear,WC,"April,May,June,July,September,October",Active,Pool,PO
Available,AV,Clear,WC,"April,May,June,July,September,October",Active,Run,RU
Available,AV,Clear,WC,"November,December,January,February,March",Inactive,Riffle,RI
Available,AV,Clear,WC,"November,December,January,February,March",Inactive,Pool,PO
Available,AV,Clear,WC,"November,December,January,February,March",Inactive,Run,RU
Available,AV,Beaver,WB,"April,May,June",Spawn,Riffle,RI
Available,AV,Beaver,WB,"April,May,June",Spawn,Pool,PO
Available,AV,Beaver,WB,"April,May,June",Spawn,Run,RU
Available,AV,Beaver,WB,"January,February,March,July,September,October,November,December",NonSpawn,Riffle,RI
Available,AV,Beaver,WB,"January,February,March,July,September,October,November,December",NonSpawn,Pool,PO
Available,AV,Beaver,WB,"January,February,March,July,September,October,November,December",NonSpawn,Run,RU
Available,AV,Clear,WC,"April,May,June",Spawn,Riffle,RI
Available,AV,Clear,WC,"April,May,June",Spawn,Pool,PO
Available,AV,Clear,WC,"April,May,June",Spawn,Run,RU
Available,AV,Clear,WC,"January,February,March,July,September,October,November,December",NonSpawn,Riffle,RI
Available,AV,Clear,WC,"January,February,March,July,September,October,November,December",NonSpawn,Pool,PO
Available,AV,Clear,WC,"January,February,March,July,September,October,November,December",NonSpawn,Run,RU
Available,AV,Beaver,WB,"January,February,March",High,Riffle,RI
Available,AV,Beaver,WB,"January,February,March",High,Pool,PO
Available,AV,Beaver,WB,"January,February,March",High,Run,RU
Available,AV,Beaver,WB,"April,May,June,July,September,October,November,December",Low,Riffle,RI
Available,AV,Beaver,WB,"April,May,June,July,September,October,November,December",Low,Pool,PO
Available,AV,Beaver,WB,"April,May,June,July,September,October,November,December",Low,Run,RU
Available,AV,Clear,WC,"January,February,March",High,Riffle,RI
Available,AV,Clear,WC,"January,February,March",High,Pool,PO
Available,AV,Clear,WC,"January,February,March",High,Run,RU
Available,AV,Clear,WC,"April,May,June,July,September,October,November,December",Low,Riffle,RI
Available,AV,Clear,WC,"April,May,June,July,September,October,November,December",Low,Pool,PO
Available,AV,Clear,WC,"April,May,June,July,September,October,November,December",Low,Run,RU
Available,AV,Beaver,WB,"January,February,March,April,May,June,July,September,October,November,December",All,Riffle,RI
Available,AV,Beaver,WB,"January,February,March,April,May,June,July,September,October,November,December",All,Pool,PO
Available,AV,Beaver,WB,"January,February,March,April,May,June,July,September,October,November,December",All,Run,RU
Available,AV,Clear,WC,"January,February,March,April,May,June,July,September,October,November,December",All,Riffle,RI
Available,AV,Clear,WC,"January,February,March,April,May,June,July,September,October,November,December",All,Pool,PO
Available,AV,Clear,WC,"January,February,March,April,May,June,July,September,October,November,December",All,Run,RU
