"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Velocity Coef","Velocity_95L","Velocity_95H","Velocity_80L","Velocity_80H","V_Percent_Support","Depth Coef","Depth_95L","Depth_95H","Depth_80L","Depth_80H","D_Percent_Support","Sub Coef","Sub_95L","Sub_95H","Sub_80L","Sub_80H","S_Percent_Support","VelFull Coef","VelFull_95L","VelFull_95H","VelFull_80L","VelFull_80H","VF_Percent_Support","DepthFull Coef","DepthFull_95L","DepthFull_95H","DepthFull_80L","DepthFull_80H","DF_Percent_Support","Instream Coef","Instream_95L","Instream_95H","Instream_80L","Instream_80H","I_Percent_Support","Canopy Coef","Canopy_95L","Canopy_95H","Canopy_80L","Canopy_80H","C_Percent_Support","Velocity_25","Velocity_75","Velocity_t_stat_50","Velocity_p_50","Velocity_5","Velocity_95","Velocity_t_stat_90","Velocity_p_90","Velocity_Min","Velocity_Max","Depth_25","Depth_75","Depth_t_stat_50","Depth_p_50","Depth_5","Depth_95","Depth_t_stat_90","Depth_p_90","Depth_Min","Depth_Max","Substrate_25","Substrate_75","Substrate_t_stat_50","Substrate_p_50","Substrate_5","Substrate_95","Substrate_t_stat_90","Substrate_p_90","Substrate_Min","Substrate_Max","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","Instream_5","Instream_95","Instream_t_stat_90","Instream_p_90","Instream_Min","Instream_Max","Canopy_25","Canopy_75","Canopy_t_stat_50","Canopy_p_50","Canopy_5","Canopy_95","Canopy_t_stat_90","Canopy_p_90","Canopy_Min","Canopy_Max","Ratio_Pool","RPool_95L","RPool_95H","RPool_80L","RPool_80H","RPool_Percent_Support","Ratio_Riffle","RRiffle_95L","RRiffle_95H","RRiffle_80L","RRiffle_80H","RRiffle_Percent_Support","Ratio_Run","RRun_95L","RRun_95H","RRun_80L","RRun_80H","RRun_Percent_Support","Mesohabitat_Riffle","MesoRiffle_95L","MesoRiffle_95H","MesoRiffle_80L","MesoRiffle_80H","MesoRiffle_Percent_Support","Mesohabitat_Run","MesoRun_95L","MesoRun_95H","MesoRun_80L","MesoRun_80H","MesoRun_Percent_Support"
"1","BB","C","Combine","RI",72,26,1216,-0.4,-0.992,0.058,-0.759,-0.071,0.9485,0.506,0.227,0.787,0.325,0.687,0.9998,-0.071,-0.304,0.195,-0.23,0.097,0.723,-0.491,-1.127,0.009,-0.88,-0.132,0.9719,0.548,0.254,0.829,0.361,0.734,0.9999,-0.322,-0.855,0.094,-0.642,-0.03,0.9251,-0.25,-0.557,0.069,-0.447,-0.046,0.9426,0.036,0.279,NA,NA,0.001,0.443,NA,NA,0,1.2,28.709,46.149,NA,NA,19.512,60.309,NA,NA,4,70,4.452,5.149,NA,NA,3.168,5.959,NA,NA,2,6,0.012,0.292,NA,NA,0,0.6,NA,NA,0,1,0.024,1,NA,NA,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","BB","C","Combine","PO",120,33,1065,0.047,-0.234,0.241,-0.114,0.186,0.7023,0.122,-0.143,0.377,-0.045,0.292,0.8246,-0.121,-0.401,0.182,-0.309,0.072,0.7983,0.089,-0.172,0.276,-0.063,0.221,0.8031,0.134,-0.142,0.413,-0.046,0.314,0.8342,0.175,-0.136,0.413,-0.008,0.34,0.8902,0.167,-0.132,0.537,-0.034,0.362,0.8403,0,0.058,-0.6808,0.0033,0,0.117,-0.2134,0.0037,0,0.22,58.777,122.552,NA,NA,37.598,150.917,NA,NA,10,151,2.507,5.332,0.9995,0.1849,1.027,6.383,NA,NA,1,7,0,0.238,NA,NA,0,0.551,-0.4626,0.0012,0,0.9,0.071,1,NA,NA,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","BB","C","Combine","RU",46,26,330,-0.232,-0.673,0.031,-0.471,-0.033,0.9475,0.481,0.262,0.714,0.343,0.617,1,0.121,-0.135,0.392,-0.052,0.3,0.8116,-0.165,-0.504,0.054,-0.349,-0.006,0.9122,0.465,0.247,0.705,0.328,0.601,1,-0.098,-0.416,0.126,-0.279,0.063,0.7543,0.492,0.092,1.12,0.205,0.803,0.9944,0.017,0.173,-0.086,0.0011,0,0.335,0.8097,0.0434,0,0.5,47.944,64.014,2.2731,0.7234,33.534,116.498,2.2544,0.8513,30,151,4.534,5.749,0.9118,0.1074,2.982,6.357,1.0324,0.1524,2,7,0.001,0.231,0.288,0.0257,0,0.346,1.171,0.1964,0,0.6,0.729,1,NA,NA,0.023,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","BB","WB","WetB","RI",19,13,416,-0.627,-1.634,0.041,-1.186,-0.097,0.9573,0.389,0.109,0.654,0.209,0.57,0.9966,-0.331,-0.617,0.029,-0.534,-0.096,0.9708,-0.653,-1.689,0.03,-1.232,-0.109,0.9624,0.398,0.12,0.662,0.219,0.577,0.9976,-0.6,-1.689,0.08,-1.179,-0.097,0.9525,-0.306,-0.835,0.211,-0.624,0.022,0.8738,0.036,0.222,1.3835,0.3766,0.006,0.394,0.8615,0.1219,0,0.81,23.318,40.315,0.9249,0.1429,19.253,44.533,1.4138,0.2634,18,49,4.582,5,1.3216,0.2703,3.65,5.456,1.1158,0.1478,3,6,0.003,0.204,1.3016,0.2583,0,0.452,0.6064,0.1017,0,0.75,0.025,0.968,NA,NA,0,0.999,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","BB","WB","WetB","PO",72,23,497,-0.074,-0.745,0.313,-0.426,0.22,0.5403,0.224,-0.065,0.513,0.031,0.413,0.9335,0.129,-0.226,0.537,-0.112,0.38,0.7397,0.041,-0.649,0.441,-0.308,0.336,0.6405,0.251,-0.091,0.609,0.024,0.486,0.9223,0.393,0.088,0.644,0.21,0.564,0.99,0.105,-0.244,0.505,-0.131,0.334,0.7141,0,0.04,0.2295,0.0374,0,0.106,NA,NA,0,0.22,56.523,121.538,2.0964,0.7151,36.765,150.669,1.7963,0.4953,26,151,3.657,5.574,0.8752,0.1934,1.485,6.38,NA,NA,1,7,0,0.247,-1.7832,9e-04,0,0.537,NA,NA,0,0.6,0.249,1,NA,NA,0.001,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","BB","WB","WetB","RU",22,16,171,-0.23,-0.816,0.059,-0.519,-0.006,0.9101,0.292,0.133,0.531,0.183,0.423,1,0.086,-0.175,0.365,-0.092,0.266,0.726,-0.188,-0.72,0.098,-0.44,0.014,0.8782,0.285,0.118,0.55,0.168,0.432,0.9997,0.111,-0.229,0.347,-0.077,0.266,0.8127,0.713,0.242,1.284,0.375,0.935,1,0.022,0.183,0.1728,0.0247,0.005,0.382,0.6017,0.0127,0,0.5,43.097,59.949,2.0208,0.5683,32.353,68.42,1.8857,0.6743,30,79,4.788,5.701,0.8886,0.1,3.652,6.528,1.0504,0.1232,3,7,0.005,0.2,0.0245,0.0621,0,0.395,-0.0563,0.001,0,0.6,0.663,1,NA,NA,0.049,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","BB","WC","WestC","RI",51,13,763,-0.323,-1.282,0.296,-0.837,0.146,0.7807,0.772,0.269,1.255,0.448,1.087,0.9988,0.077,-0.365,0.633,-0.228,0.421,0.6019,-0.471,-1.49,0.243,-1.043,0.07,0.8579,0.816,0.297,1.308,0.484,1.135,0.9986,-0.162,-0.973,0.38,-0.596,0.231,0.6569,-0.078,-0.631,0.502,-0.457,0.159,0.6834,0.062,0.29,0.8605,0.1483,0.012,0.478,0.512,0.0314,0,1.2,35.579,54.678,1.2081,0.2895,27.898,62.671,0.909,0.2452,4,70,4.356,5.527,0.7983,0.0858,3.298,5.935,0.7491,0.0397,2,6,0.073,0.354,0.6251,0.1144,0.016,0.603,0.1475,0.0361,0,1,0.296,0.998,NA,NA,0.035,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","BB","WC","WestC","PO",40,11,527,0.153,-0.134,0.372,-0.007,0.306,0.8904,0.069,-0.451,0.528,-0.255,0.377,0.6251,-0.53,-1.198,0.026,-0.922,-0.149,0.9677,0.187,-0.07,0.397,0.035,0.334,0.9373,0.096,-0.456,0.615,-0.247,0.436,0.6516,-0.171,-1.082,0.464,-0.475,0.324,0.5219,0.057,-0.503,0.635,-0.244,0.363,0.6449,0.016,0.073,0.9595,0.3202,0.003,0.113,0.2322,0.1911,0,0.21,64.745,119.086,1.2289,0.2324,52.6,144.626,1.0738,0.1402,10,151,1.578,4.306,1.5028,0.4525,1.067,5.768,NA,NA,1,7,0.002,0.21,0.2433,0.0315,0,0.48,-0.3761,0.0112,0,0.9,0.064,0.929,NA,NA,0.003,0.996,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","BB","WC","WestC","RU",18,10,131,-0.442,-1.349,0.09,-0.944,-0.039,0.9303,1.044,0.395,2.803,0.595,1.935,1,0.144,-0.461,0.917,-0.258,0.557,0.6533,-0.364,-1.163,0.094,-0.815,-0.02,0.9183,1.102,0.376,3.105,0.559,2.51,1,-0.509,-1.409,0.018,-0.954,-0.108,0.9662,1.521,-0.527,6.95,-0.345,6.909,0.6201,0.043,0.165,0.471,0.0818,0.007,0.221,0.6279,0.0366,0,0.3,55.014,90.48,1.045,0.1856,47.015,132.783,1.4446,0.3656,36,151,3.796,5.481,0.3781,0.0561,2.904,5.872,0.4642,0.0514,2,6,0.008,0.228,0.8183,0.0728,0,0.314,1.0796,0.0239,0,0.45,0.714,0.999,NA,NA,0.328,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","DS","C","Combine","RI",76,33,1220,0.194,-0.188,0.457,-0.015,0.381,0.8872,0.404,0.156,0.646,0.238,0.567,0.9992,0.259,0.012,0.543,0.091,0.436,0.9809,0.162,-0.247,0.443,-0.063,0.362,0.8385,0.385,0.137,0.639,0.218,0.551,0.9986,0.292,0.001,0.553,0.111,0.469,0.9752,0.195,-0.104,0.529,-0.012,0.459,0.8723,0.095,0.343,NA,NA,0.01,1.003,NA,NA,0,1.76,25.48,47.144,NA,NA,19.227,56.245,NA,NA,11,64,4.949,5.931,NA,NA,3.568,6,NA,NA,3,6,0.135,0.479,NA,NA,0.019,0.762,NA,NA,0,1,0.716,1,NA,NA,0.005,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
