month,species,mesohabitat,quantity
March,desert_sucker,pool,6
March,desert_sucker,riffle,4
March,desert_sucker,run,0
April,desert_sucker,pool ,1
April,desert_sucker,riffle,5
April,desert_sucker,run,4
May,desert_sucker,pool,2
May,desert_sucker,riffle,10
May,desert_sucker,run,0
June,desert_sucker,pool,3
June,desert_sucker,riffle,5
June,desert_sucker,run,1
July,desert_sucker,pool,4
July,desert_sucker,riffle,2
July,desert_sucker,run,2
September,desert_sucker,pool,1
September,desert_sucker,riffle,1
September,desert_sucker,run,0
October,desert_sucker,pool,2
October,desert_sucker,riffle,3
October,desert_sucker,run,2
November,desert_sucker,pool,2
November,desert_sucker,riffle,2
November,desert_sucker,run,2
