...1,Stream,Month,Site Type,Tag,Species,Mesohabitat,Stream Width,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Creation Date,Data Change,Weight,Length,Capture Method,Capture Date,Release,Notes.y,ObjectID
1,Beaver,April,Occupied,108,Black Bass,Pool,9.89,51.816,0.04,Cobble,0.2,0,0,0,0,0,0.2,No,34.673012,111.668527,Visually confirmed w2 others,4/24/2022 18:33,NA,109,215,Backpack Shocker,11/12/2022,NA,NA,NA
5,Beaver,April,Occupied,120,Black Bass,Pool,11.32,99.06,0,Pebble,0.25,0,0,0,0,0,0.25,No,34.673514,111.669353,NA,4/24/2022 17:52,NA,77,182,Backpack Shocker,11/12/2022,NA,NA,NA
8,Beaver,April,Occupied,125,Black Bass,Pool,11.8,118.872,0.01,Boulder,0.6,0,0,0,0,0,0.6,Yes,34.672947,111.668385,NA,4/24/2022 18:57,NA,103,202,Backpack Shocker,11/12/2022,NA,Riffles,NA
9,Beaver,April,Occupied,127,Black Bass,Pool,11.87,108.204,0,Sand,0.35,0,0,0,0,0,0.35,Yes,34.672994,111.668424,Visually confirmed with 12 others. silt substrate,4/24/2022 18:49,NA,85,197,Backpack Shocker,11/12/2022,NA,Riffles,NA
10,Beaver,April,Occupied,129,Black Bass,Pool,7.63,62.484,0,Boulder,0.6,0,0,0,0,0,0.6,Yes,34.672566,111.667602,NA,4/24/2022 19:41,NA,112,201,Backpack Shocker,11/12/2022,NA,Riffles,NA
11,Beaver,April,Occupied,131,Black Bass,Pool,12.8,118.872,0,Silt,0,0,0,0,0,0,0,Yes,34.672419,111.667704,Silt substrate,4/24/2022 19:36,Changed sand substrate to silt as directed by 'note',82,191,Backpack Shocker,11/12/2022,NA,Riffles,NA
13,Beaver,April,Occupied,134,Black Bass,Pool,8.18,82.296,0,Sand,0,0,0,0,0,0,0,Yes,34.673012,111.66627,NA,4/24/2022 21:41,NA,107,226,Backpack Shocker,11/13/2022,NA,Pool,NA
14,Beaver,April,Occupied,135,Black Bass,Pool,12.24,73.152,0.08,Bedrock,0,0,0,0,0,0,0,Yes,34.672959,111.666567,NA,4/24/2022 22:10,NA,95,197,Backpack Shocker,11/16/2022,NA,Pool,NA
20,Beaver,April,Occupied,151,Black Bass,Pool,8.14,54.864,0,Cobble,0,0,0,0,0,0,0,No,34.67296,111.666679,NA,4/24/2022 22:01,NA,137,227,Backpack Shocker,11/16/2022,NA,NA,NA
21,Beaver,April,Occupied,152,Black Bass,Pool,9.82,25.908,0.05,Boulder,0.3,0,0,0,0,0,0.3,No,34.673,111.666419,NA,4/24/2022 22:20,NA,102,207,Backpack Shocker,11/15/2022,NA,NA,NA
22,Beaver,April,Occupied,154,Black Bass,Pool,10.35,65.532,0.01,Bedrock,0,0,0,0,0,0,0,No,34.672939,111.666605,NA,4/24/2022 22:14,NA,75,181,Backpack Shocker,11/14/2022,NA,Pool,NA
23,Beaver,April,Occupied,155,Black Bass,Pool,5.3,82.296,0,Cobble,0.3,0,0,0,0,0,0.3,No,34.672937,111.666663,NA,4/24/2022 22:05,NA,143,231,Backpack Shocker,11/16/2022,NA,Pool,NA
24,Beaver,April,Occupied,159,Black Bass,Pool,14.07,67.056,0.01,Cobble,0,0,0,0,0,0,0,Yes,34.674015,111.670812,NA,4/24/2022 0:10,NA,138,228,Backpack Shocker,11/22/2022,NA,pool,NA
3,Beaver,April,Occupied,113,Desert Sucker,Pool,16.14,>150,Na,NA,0,0,0,0,0,0,0,Yes,34.674059,111.670577,NA,4/24/2022 0:20,NA,101,192,Backpack Shocker,11/3/2022,NA,NA,NA
4,Beaver,April,Occupied,114,Desert Sucker,Pool,11.2,51.816,0,Pebble,0.4,0,0,0,0,0,0.4,Yes,34.673397,111.669152,NA,4/24/2022 18:05,NA,91,196,Backpack Shocker,11/3/2022,NA,NA,NA
6,Beaver,April,Occupied,121,Desert Sucker,Pool,8.06,39.624,0.01,Boulder,0.6,0,0,0,0,0,0.6,No,34.673303,111.668974,NA,4/24/2022 18:16,NA,86,192,Backpack Shocker,11/12/2022,NA,NA,NA
7,Beaver,April,Occupied,124,Desert Sucker,Pool,11.2,42.672,0,Pebble,0.4,0,0,0,0,0,0.4,Yes,34.673397,111.679153,NA,4/24/2022 18:07,NA,121,221,Backpack Shocker,11/12/2022,NA,Male,NA
12,Beaver,April,Occupied,133,Desert Sucker,Pool,5.45,62.484,0,Cobble,0.3,0,0,0,0,0,0.3,Yes,34.672525,111.667714,Visual confirmation with 4 others,4/24/2022 19:43,NA,75,193,Backpack Shocker,11/12/2022,NA,Riffles,NA
17,Beaver,April,Occupied,146,Desert Sucker,Pool,6.87,94.488,0.01,Sand,0.2,0,0,0,0,0,0.2,No,34.673079,111.666174,NA,4/24/2022 21:45,NA,97,204,Backpack Shocker,11/16/2022,NA,riffle,NA
