Velocity,Substrate,Depth,Velocity_full,Depth_full,Velocity_25,Velocity_75,Velocity_25_Suit_Used,Velocity_25_UnSuit_Avail,Velocity_25_UnSuit_Used,Velocity_25_Suit_Avail,t_stat_50_Velocity,p_50_Velocity,Substrate_25,Substrate_75,Substrate_25_Suit_Used,Substrate_25_UnSuit_Avail,Substrate_25_UnSuit_Used,Substrate_25_Suit_Avail,t_stat_50_Substrate,p_50_Substrate,Depth_25,Depth_75,Depth_25_Suit_Used,Depth_25_UnSuit_Avail,Depth_25_UnSuit_Used,Depth_25_Suit_Avail,t_stat_50_Depth,p_50_Depth
-0.5225852824389424,-0.26130154368188074,0.3944267227186293,-0.37242851501116214,0.24269064265114748,0,0.024999999999999998,13,44,5,91,0.4112574048709937,0,3.25,5.75,8,69,10,58,-0.0976603791471318,0,62.5,119,9,99,9,39,1.879523528890281,1
-0.38028551782807285,-0.13170025330308122,0.37077372293760363,-0.23350291865241182,0.26131648161408844,0,0.024999999999999998,13,44,5,91,0.4112574048709937,0,3.5,6,11,38,7,89,-0.7696503873019584,0,64.5,116.25,8,101,10,37,1.5530765690841304,0
-0.762026551262004,-0.29236533371702655,0.3718489437592018,-0.6529563574866133,0.15351049295010744,0,0.01,14,59,4,76,1.7394884609620453,1,2.25,5.75,8,61,10,66,-0.5976257486808588,0,64,116.25,9,100,9,38,1.953702914716148,1
-0.6081388568690864,-0.13170110117725273,0.29320789136669667,-0.544972000229406,0.10055150833722534,0,0.017499999999999998,13,59,5,76,1.2866740832974033,0,3.5,6,12,38,6,89,-0.29468190290526886,0,62.5,103,8,107,10,31,2.0256010419923394,1
-0.6555865672338252,0.009302840631327346,0.31372403853414416,-0.5823792593082989,0.11224237885539919,0,0.017499999999999998,13,59,5,76,1.2866740832974033,0,5,6,13,53,5,74,1.1310008935845302,0,62.5,105.75,8,104,10,34,1.7818639249091368,1
-0.06848103843543478,0.046866042981300426,0.22579785430490226,0.023773944917714198,0.2120808144121711,0,0.0375,13,38,5,97,0.03283632289827707,0,5,6,12,53,6,74,0.6788469722793558,0,56,103,9,93,9,45,1.458724524319675,0
-0.34938790795681074,0.00930278077939737,0.4590810085595418,-0.12854818334729493,0.38765304988913,0,0.0275,13,44,5,91,0.4112574048709937,0,5,6,12,53,6,74,0.6788469722793558,0,64.5,143,8,97,10,41,1.2667113442432512,0
-0.08728868037475876,0.12537610876763725,0.14162965099689884,-0.04710225260255758,0.09564791478121003,0,0.0375,13,38,5,97,0.03283632289827707,0,5,6,12,53,6,74,0.6788469722793558,0,56,96.25,9,96,9,42,1.6643437715775666,1
-0.4128677524756303,-0.09768338914606277,0.36539607389048223,-0.2738915137151083,0.24299555382153185,0,0.0275,13,44,5,91,0.4112574048709937,0,4.25,5.75,8,84,10,43,0.8802625776646957,0,58,116.25,8,90,10,48,0.8037180680557421,0
-0.32002158398828606,-0.38313200082923754,0.28888126197422753,-0.22485095891240367,0.18204840831272154,0,0.03,15,38,3,97,1.0331082797897009,0,2.25,5,9,61,9,66,-0.15641512646968145,0,62.5,116.25,8,100,10,38,1.4796552363612105,0
