"","...1","Stream","Month","Site.Type","Tag","Species","Mesohabitat","Stream.Width","Depth","Velocity","Substrate","Substrate.Feature","Surface.Turbulence","Aquatic.Vegetation","Large.Woody.Debris","Terrestrial.Vegetation","Undercut.Bank","Instream.Cover","Canopy.Cover","Longitude","Latitude","Notes","Creation.Date","Data.Change","Weight","Length","Capture.Method","Capture.Date","Release","Notes.y","ObjectID"
"1",4,"Clear","April","Occupied",161,"Desert Sucker","Riffle",12.89,"42.672",0.07,"Cobble",0,0,0,0,0,0,0,"No",34.536965,"111.681296",NA,"4/26/2022 20:46",NA,224,263,"Backpack Shocker","11/28/2022","Camp Crossing",NA,NA
"2",14,"Clear","April","Occupied",176,"Desert Sucker","Riffle",14.36,"30.48",0.43,"Boulder",0.1,0,0,0,0,0,0.1,"Yes",34.538163,"111.686026",NA,"4/25/2022 20:31",NA,186,252,"Backpack Shocker","11/28/2022","Honey Hole",NA,NA
"3",15,"Clear","April","Occupied",177,"Desert Sucker","Riffle",9.87,"42.672",0,"Cobble",0.1,0,0,0,0,0,0.1,"Yes",34.535991,"111.675393","20+ ds spotted","4/26/2022 22:07",NA,227,274,"Backpack Shocker","11/28/2022","4th Pool to Honey Hole","All DS in Honey Hole",NA
"4",17,"Clear","April","Occupied",179,"Desert Sucker","Riffle",13.45,"38.1",0.28,"Boulder",0.5,0,0,0,0,0,0.5,"Yes",34.538316,"111.685215",NA,"4/25/2022 21:02",NA,225,273,"Hoop Net","11/28/2022","Start to 2nd Pool","bottom pool- George",NA
"5",22,"Clear","April","Occupied",191,"Desert Sucker","Riffle",12.89,"16.764",0.06,"Cobble",0.15,0,0,0,0,0,0.15,"Yes",34.536945,"111.681286",NA,"4/26/2022 20:43",NA,168,245,"Backpack Shocker","11/28/2022","Honey Hole",NA,NA
"6",13,"Clear","June","Occupied",176,"Desert Sucker","Riffle",6.63,"51",0.19,"Cobble",0.1,0,0,0,0,0,0.1,"No",34.538304,"111.685049",NA,"6/18/2022 16:58",NA,186,252,"Backpack Shocker","11/28/2022","Honey Hole",NA,353
"7",19,"Clear","June","Occupied",192,"Desert Sucker","Riffle",13.1,"38",0.12,"Cobble",0.2,0,0,0,0,0,0.2,"No",34.538494,"111.684646",NA,"6/18/2022 17:19",NA,160,234,"Backpack Shocker","11/28/2022","Honey Hole",NA,360
"8",8,"Clear","June","Occupied",169,"Desert Sucker","Riffle",7.8,"54",0.08,"Boulder",0.4,0,0,0,0,0,0.4,"Yes",34.537084,"111.681395",NA,"6/18/2022 21:16",NA,224,256,"Backpack Shocker","11/28/2022","Camp Crossing",NA,417
"9",2,"Clear","June","Occupied",158,"Desert Sucker","Riffle",8.771,"46",0.38,"Gravel",0.4,0,0,0.1,0,0,0.5,"Yes",34.537065,"111.681395",NA,"6/18/2022 21:18","All highlighted yellow with 800 series washer numbers have data on physical/photo sheets",247,278,"Backpack Shocker","11/28/2022","4th Pool to Honey Hole","All DS in Honey Hole",418
"10",18,"Clear","June","Occupied",191,"Desert Sucker","Riffle",8,"54",0.28,"Gravel",0.6,0,0,0,0,0,0.6,"Yes",34.536066,"111.679849",NA,"6/18/2022 22:42",NA,168,245,"Backpack Shocker","11/28/2022","Honey Hole",NA,445
"11",NA,"Clear","March","Occupied",163,"Desert Sucker","Riffle",12.63,"34",0.27,"Boulder",0.5,0,0,0.2,0,0,0.7,"Yes",34.538292,"-111.685143",NA,"3/16/2022 0:00",NA,NA,NA,NA,NA,NA,NA,235
"12",NA,"Clear","March","Occupied",163,"Desert Sucker","Riffle",13.61,"50",0.11,"Boulder",0.2,0,0,0,0,0,0.2,"Yes",34.538298,"-111.685097",NA,"3/16/2022 0:00",NA,NA,NA,NA,NA,NA,NA,237
"13",NA,"Clear","March","Occupied",189,"Desert Sucker","Riffle",10.14,"59",0.7,"Boulder",0.2,0.5,0,0,0,0,0.7,"Yes",34.535962,"-111.679187",NA,"3/16/2022 0:00",NA,NA,NA,NA,NA,NA,NA,318
"14",NA,"Clear","March","Occupied",200,"Desert Sucker","Riffle",10.81,"60",1.18,"Boulder",0.3,0.6,0,0,0,0,0.9,"Yes",34.535938,"-111.67917",NA,"3/16/2022 0:00",NA,NA,NA,NA,NA,NA,NA,319
