Species,Species_Abb,Stream,Stream_Abb,Season,Season_Abb,Mesohabitat,Mesohabitat_Abb
Desert Sucker,DS,Beaver,WB,"April,May,June",SS,Riffle,RI
Black Bass,BB,Beaver,WB,"April,May,June",SS,Riffle,RI
Desert Sucker,DS,Beaver,WB,"April,May,June",SS,Pool,PO
Black Bass,BB,Beaver,WB,"April,May,June",SS,Pool,PO
Desert Sucker,DS,Beaver,WB,"April,May,June",SS,Run,RU
Black Bass,BB,Beaver,WB,"April,May,June",SS,Run,RU
Desert Sucker,DS,Clear,WC,"April,May,June,July",SS,Riffle,RI
Black Bass,BB,Clear,WC,"April,May,June,July",SS,Riffle,RI
Desert Sucker,DS,Clear,WC,"April,May,June,July",SS,Pool,PO
Black Bass,BB,Clear,WC,"April,May,June,July",SS,Pool,PO
Desert Sucker,DS,Clear,WC,"April,May,June,July",SS,Run,RU
Black Bass,BB,Clear,WC,"April,May,June,July",SS,Run,RU
Desert Sucker,DS,Beaver,WB,"December,January,February",W,Riffle,RI
Black Bass,BB,Beaver,WB,"December,January,February",W,Riffle,RI
Desert Sucker,DS,Beaver,WB,"December,January,February",W,Pool,PO
Black Bass,BB,Beaver,WB,"December,January,February",W,Pool,PO
Desert Sucker,DS,Beaver,WB,"December,January,February",W,Run,RU
Black Bass,BB,Beaver,WB,"December,January,February",W,Run,RU
Desert Sucker,DS,Beaver,WB,"September,October,November",F,Riffle,RI
Black Bass,BB,Beaver,WB,"September,October,November",F,Riffle,RI
Desert Sucker,DS,Beaver,WB,"September,October,November",F,Pool,PO
Black Bass,BB,Beaver,WB,"September,October,November",F,Pool,PO
Desert Sucker,DS,Beaver,WB,"September,October,November",F,Run,RU
Black Bass,BB,Beaver,WB,"September,October,November",F,Run,RU
Desert Sucker,DS,Clear,WC,"September,October,November,December",FW,Riffle,RI
Black Bass,BB,Clear,WC,"September,October,November,December",FW,Riffle,RI
Desert Sucker,DS,Clear,WC,"September,October,November,December",FW,Pool,PO
Black Bass,BB,Clear,WC,"September,October,November,December",FW,Pool,PO
Desert Sucker,DS,Clear,WC,"September,October,November,December",FW,Run,RU
Black Bass,BB,Clear,WC,"September,October,November,December",FW,Run,RU
