"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Ratio_Pool","RPool_95L","RPool_95H","RPool_80L","RPool_80H","RPool_Percent_Support","Ratio_Riffle","RRiffle_95L","RRiffle_95H","RRiffle_80L","RRiffle_80H","RRiffle_Percent_Support","Ratio_Run","RRun_95L","RRun_95H","RRun_80L","RRun_80H","RRun_Percent_Support","Mesohabitat_Riffle","MesoRiffle_95L","MesoRiffle_95H","MesoRiffle_80L","MesoRiffle_80H","MesoRiffle_Percent_Support","Mesohabitat_Run","MesoRun_95L","MesoRun_95H","MesoRun_80L","MesoRun_80H","MesoRun_Percent_Support","Velocity Coef","Velocity_95L","Velocity_95H","Velocity_80L","Velocity_80H","V_Percent_Support","Depth Coef","Depth_95L","Depth_95H","Depth_80L","Depth_80H","D_Percent_Support","Sub Coef","Sub_95L","Sub_95H","Sub_80L","Sub_80H","S_Percent_Support","VelFull Coef","VelFull_95L","VelFull_95H","VelFull_80L","VelFull_80H","VF_Percent_Support","DepthFull Coef","DepthFull_95L","DepthFull_95H","DepthFull_80L","DepthFull_80H","DF_Percent_Support","Instream Coef","Instream_95L","Instream_95H","Instream_80L","Instream_80H","I_Percent_Support","Canopy Coef","Canopy_95L","Canopy_95H","Canopy_80L","Canopy_80H","C_Percent_Support","Velocity_25","Velocity_75","Velocity_t_stat_50","Velocity_p_50","Velocity_5","Velocity_95","Velocity_t_stat_90","Velocity_p_90","Velocity_Min","Velocity_Max","Depth_25","Depth_75","Depth_t_stat_50","Depth_p_50","Depth_5","Depth_95","Depth_t_stat_90","Depth_p_90","Depth_Min","Depth_Max","Substrate_25","Substrate_75","Substrate_t_stat_50","Substrate_p_50","Substrate_5","Substrate_95","Substrate_t_stat_90","Substrate_p_90","Substrate_Min","Substrate_Max","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","Instream_5","Instream_95","Instream_t_stat_90","Instream_p_90","Instream_Min","Instream_Max","Canopy_Chi","Canopy_P","C_Prob_Support0.05","Canopy_Min","Canopy_Max"
"1","DS","WB","Spawn","Meso",26,19,308,0.45,0.2,0.718,0.295,0.621,1,0.687,0.424,0.976,0.49,0.874,0.983,2.443,1.024,4.276,1.374,3.56,0.977,0.452,-0.436,1.458,-0.132,1.045,0.835,1.658,0.529,2.826,0.926,2.389,0.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","DS","WB","NonSpawn","Meso",60,23,714,0.861,0.429,1.291,0.566,1.143,0.75,1.176,0.732,1.649,0.878,1.484,0.783,0.901,0.282,1.74,0.32,1.446,0.654,0.269,-0.537,1.134,-0.263,0.811,0.74,-0.332,-1.514,1.062,-1.082,0.704,0.516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","DS","WC","Spawn","Meso",31,13,673,0.48,0,0.957,0.2,0.803,0.982,1.456,0.758,2.142,0.943,1.961,0.889,2.394,0,5.703,0,4.519,0.866,1.316,-0.571,16.138,-0.165,1.74,0.851,-0.097,-14.762,16.649,-14.078,2.504,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","DS","WC","NonSpawn","Meso",41,15,711,1.737,1.054,2.439,1.298,2.192,0.987,0.481,0.152,0.797,0.299,0.736,0.999,1.509,0,3.916,0,3.079,0.715,-1.443,-2.731,-0.38,-2.038,-0.729,0.997,-3.022,-15.779,1.105,-15.558,0.713,0.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","BB","WB","Spawn","Meso",32,20,314,1.22,1.025,1.435,1.086,1.355,0.987,0.163,0,0.337,0.097,0.275,1,0.462,0,1.41,0,1.108,0.868,-3.371,-16.727,-1.175,-2.639,-1.414,1,-6.158,-15.718,0.202,-14.717,-0.019,0.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","BB","WB","NonSpawn","Meso",77,28,731,1.138,0.784,1.497,0.9,1.374,0.774,0.469,0.123,0.832,0.242,0.702,0.998,1.746,1.005,2.547,1.246,2.252,0.976,-1.04,-2.357,-0.128,-1.69,-0.405,0.989,0.354,-0.355,1.019,-0.09,0.791,0.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","BB","WC","Spawn","Meso",40,17,682,0.882,0.586,1.231,0.619,1.08,0.72,0.911,0.438,1.372,0.637,1.178,0.667,2.355,0.873,4.367,1.078,3.587,0.945,-0.46,-1.426,0.376,-1.003,0.082,0.851,0.222,-0.588,1.514,-0.307,1.204,0.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","BB","WC","NonSpawn","Meso",69,19,739,0.94,0.416,1.471,0.617,1.282,0.558,0.804,0.478,1.118,0.596,0.999,0.901,2.44,0.753,4.694,0.911,3.817,0.883,-0.18,-1.021,0.837,-0.75,0.396,0.68,0.673,-0.566,2.061,-0.105,1.644,0.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","BB","WB","Spawn","RI",3,3,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.248,-4.253,-0.987,-3.94,-1.066,1,0.671,0.392,1.032,0.432,0.919,1,0.136,-0.359,0.457,-0.286,0.398,0.667,-39330478622.783,-10.753,-1.072,-5.596,-1.164,1,-43037732679.034,0.37,2.321,0.409,1.703,1e-04,0.23,-0.675,0.974,-0.612,0.915,0.6666,2.485,-0.345,7.984,-0.298,7.966,0.333,0.042,0.085,-0.5372,0,0.024,0.102,-0.6999,0,0,0.13,32.33,38.331,-0.4195,0,29.93,40.731,-0.5904,0,26,44,5.167,5.5,NA,NA,5.033,5.634,NA,NA,5,6,0.217,0.45,-0.98,0,0.123,0.543,-1.3626,0,0,0.7,0.4879,0.574,0,0,1
"10","BB","WB","Spawn","PO",27,18,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.391,-1.13,0.031,-0.761,-0.07,0.9579,0.33,0.031,0.632,0.135,0.532,0.9841,-0.118,-0.522,0.358,-0.399,0.172,0.713,-0.261,-0.978,0.179,-0.632,0.065,0.8217,0.226,-0.096,0.58,0.012,0.449,0.9123,0.187,-0.19,0.47,-0.028,0.387,0.8724,-0.025,-0.347,0.414,-0.252,0.217,0.5686,0,0.026,0.8564,0.0822,0,0.055,1.0328,0.0611,0,0.08,61.72,113.154,2.1427,0.8333,48.579,147.928,2.1935,0.9028,26,151,3.899,5.677,0.3662,0.0451,1.509,6.479,NA,NA,1,7,0,0.271,-0.3989,0.0039,0,0.509,NA,NA,0,0.6,0.3843,0.647,0,0,1
