Species,Species_Abb,Stream,Stream_Abb,Group,Group_Abb,Mesohabitat,Mesohabitat_Abb
Desert Sucker,DS,Beaver,WB,"April,May,June",Spawn,None,Meso
Desert Sucker,DS,Beaver,WB,"January,February,March,July,September,October,November,December",NonSpawn,None,Meso
Desert Sucker,DS,Clear,WC,"April,May,June",Spawn,None,Meso
Desert Sucker,DS,Clear,WC,"January,February,March,July,September,October,November,December",NonSpawn,None,Meso
Black Bass,BB,Beaver,WB,"April,May,June",Spawn,None,Meso
Black Bass,BB,Beaver,WB,"January,February,March,July,September,October,November,December",NonSpawn,None,Meso
Black Bass,BB,Clear,WC,"April,May,June",Spawn,None,Meso
Black Bass,BB,Clear,WC,"January,February,March,July,September,October,November,December",NonSpawn,None,Meso
Black Bass,BB,Beaver,WB,"April,May,June",Spawn,Riffle,RI
Black Bass,BB,Beaver,WB,"April,May,June",Spawn,Pool,PO
Black Bass,BB,Beaver,WB,"April,May,June",Spawn,Run,RU
Black Bass,BB,Beaver,WB,"January,February,March,July,September,October,November,December",NonSpawn,Riffle,RI
Black Bass,BB,Beaver,WB,"January,February,March,July,September,October,November,December",NonSpawn,Pool,PO
Black Bass,BB,Beaver,WB,"January,February,March,July,September,October,November,December",NonSpawn,Run,RU
Black Bass,BB,Clear,WC,"April,May,June",Spawn,Riffle,RI
Black Bass,BB,Clear,WC,"April,May,June",Spawn,Pool,PO
Black Bass,BB,Clear,WC,"April,May,June",Spawn,Run,RU
Black Bass,BB,Clear,WC,"January,February,March,July,September,October,November,December",NonSpawn,Riffle,RI
Black Bass,BB,Clear,WC,"January,February,March,July,September,October,November,December",NonSpawn,Pool,PO
Black Bass,BB,Clear,WC,"January,February,March,July,September,October,November,December",NonSpawn,Run,RU
Desert Sucker,DS,Beaver,WB,"April,May,June",Spawn,Riffle,RI
Desert Sucker,DS,Beaver,WB,"April,May,June",Spawn,Pool,PO
Desert Sucker,DS,Beaver,WB,"April,May,June",Spawn,Run,RU
Desert Sucker,DS,Beaver,WB,"January,February,March,July,September,October,November,December",NonSpawn,Riffle,RI
Desert Sucker,DS,Beaver,WB,"January,February,March,July,September,October,November,December",NonSpawn,Pool,PO
Desert Sucker,DS,Beaver,WB,"January,February,March,July,September,October,November,December",NonSpawn,Run,RU
Desert Sucker,DS,Clear,WC,"April,May,June",Spawn,Riffle,RI
Desert Sucker,DS,Clear,WC,"April,May,June",Spawn,Pool,PO
Desert Sucker,DS,Clear,WC,"April,May,June",Spawn,Run,RU
Desert Sucker,DS,Clear,WC,"January,February,March,July,September,October,November,December",NonSpawn,Riffle,RI
Desert Sucker,DS,Clear,WC,"January,February,March,July,September,October,November,December",NonSpawn,Pool,PO
Desert Sucker,DS,Clear,WC,"January,February,March,July,September,October,November,December",NonSpawn,Run,RU
