"","Velocity","Substrate","Depth","Velocity_full","Depth_full","Velocity_25","Velocity_75","Velocity_25_Suit_Used","Velocity_25_UnSuit_Avail","Velocity_25_UnSuit_Used","Velocity_25_Suit_Avail","Velocity_t_stat_50","Velocity_p_50","Substrate_25","Substrate_75","Substrate_25_Suit_Used","Substrate_25_UnSuit_Avail","Substrate_25_UnSuit_Used","Substrate_25_Suit_Avail","Substrate_t_stat_50","Substrate_p_50","Depth_25","Depth_75","Depth_25_Suit_Used","Depth_25_UnSuit_Avail","Depth_25_UnSuit_Used","Depth_25_Suit_Avail","Depth_t_stat_50","Depth_p_50","Velocity_5","Velocity_95","Velocity_5_Suit_Used","Velocity_5_UnSuit_Avail","Velocity_5_UnSuit_Used","Velocity_5_Suit_Avail","Velocity_t_stat_90","Velocity_p_90","Substrate_5","Substrate_95","Substrate_5_Suit_Used","Substrate_5_UnSuit_Avail","Substrate_5_UnSuit_Used","Substrate_5_Suit_Avail","Substrate_t_stat_90","Substrate_p_90","Depth_5","Depth_95","Depth_5_Suit_Used","Depth_5_UnSuit_Avail","Depth_5_UnSuit_Used","Depth_5_Suit_Avail","Depth_t_stat_90","Depth_p_90","Instream_5","Instream_95","Instream_5_Suit_Used","Instream_5_UnSuit_Avail","Instream_5_UnSuit_Used","Instream_5_Suit_Avail","Instream_t_stat_90","Instream_p_90","Canopy_5","Canopy_95","Canopy_Chi","Canopy_P","Canopy_0.05","Canopy_0.1","OccCan","OccNoCan","AvailCan","AvailNoCan","Ratio_Pool","Ratio_Riffle","Ratio_Run","Mesohabitat_Riffle","Mesohabitat_Run","Instream","Canopy","Instream_25_Suit_Used","Instream_25_UnSuit_Used","Instream_25_Suit_Avail","Instream_25_UnSuit_Avail","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","C_Prob_Support0.05"
"1",-0.740424620026839,-0.778120978977086,-0.233612947337249,-0.722843953525941,-0.166285249355121,0.085,0.305,1,49,2,24,0.0164979372084386,0,4.5,5,2,32,1,43,0.320857437111087,0,22.5,32,1,46,2,27,-0.128550891065853,0,0.065,0.461,1,36,2,37,-0.589094188963293,0,4.1,5,2,32,1,43,0.320857437111087,0,22.1,39.2,1,34,2,39,-0.683055777614331,0,0.165,0.435,1,53,2,22,0.148988685672765,0,NA,NA,0.022197628458498,0.881562560843298,NA,NA,2,1,53,22,NA,NA,NA,NA,NA,-0.0940954950101288,-0.0879421337301081,1,2,5,70,0.225,0.375,1.6996731711976,1,0
"2",-0.774967765255068,-1.44797826626534,-0.408051274415945,-0.728387015114243,-0.307277102805686,0.035,0.28,1,43,2,30,-0.26813070883436,0,3.5,4.5,1,68,2,6,1.48990597683875,0,20,31.5,1,44,2,29,-0.222010354961829,0,0.015,0.456,1,27,2,46,-1.03717052796576,0,3.1,4.9,1,68,2,6,1.48990597683875,0,18.4,39.1,1,29,2,44,-0.930571283601601,0,0.15,0.285,2,56,1,19,1.58267563176681,0,NA,NA,1.51085021673257,0.219009396673522,NA,NA,1,2,50,24,NA,NA,NA,NA,NA,-0.521997561546003,-0.674380008532844,2,1,17,58,0.15,0.225,1.74095854737933,1,0
"3",-0.795934359556374,-2.00687627234108,-0.314214429724185,-0.795360563897288,-0.251414334448615,0.06,0.305,1,48,2,26,-0.0641153448412373,0,4,5,2,33,1,42,0.36534358599663,0,20.5,32,1,45,2,29,-0.203893166848026,0,0.02,0.461,1,30,2,44,-0.900151527673409,0,3.2,5,2,33,1,42,0.36534358599663,0,18.5,39.2,1,26,2,48,-1.11298640545999,0,0.15,0.42,2,42,1,33,0.774030311801831,0,NA,NA,0.0405194805194805,0.840468293613563,NA,NA,2,1,54,21,NA,NA,NA,NA,NA,-0.17822432918672,-0.118757959889671,2,1,26,49,0.15,0.3,1.132985941156,0,0
"4",-0.559589514588594,-0.769986564586205,-0.16759389460146,-0.560020628215605,-0.147458353754655,0.085,0.305,1,48,2,25,-0.0326770662213081,0,4.5,5,2,33,1,41,0.385066021378543,0,22.5,32,1,47,2,26,-0.0809794496609527,0,0.065,0.461,1,33,2,40,-0.730897785627714,0,4.1,5,2,33,1,41,0.385066021378543,0,22.1,39.2,1,37,2,36,-0.542774726929548,0,0.165,0.435,1,52,2,23,0.0981306762925316,0,NA,NA,0.000261573790985549,0.987096181619158,NA,NA,2,1,49,25,NA,NA,NA,NA,NA,0.0481704818576733,0.0095467352263405,1,2,9,66,0.225,0.375,1.08378421989532,0,0
"5",-0.901201955578125,-4.71778464079969,-0.589267639303631,-0.903307587567296,-0.501441528372029,0.035,0.28,1,45,2,28,-0.175521166271129,0,3.5,4.5,1,70,2,5,1.6996731711976,1,20,31.5,1,43,2,30,-0.26813070883436,0,0.015,0.456,1,28,2,45,-0.983188714830957,0,3.1,4.9,1,70,2,5,1.6996731711976,1,18.4,39.1,1,28,2,45,-0.983188714830957,0,0.15,0.285,2,55,1,20,1.50970883922059,0,NA,NA,1.66513167013167,0.196911878000721,NA,NA,1,2,51,23,NA,NA,NA,NA,NA,-0.589915954176514,-0.703849118059323,2,1,18,57,0.15,0.225,1.65958033748045,1,0
"6",-3.50767046382541,-4.68325994839319,-1.02853366251554,-3.72314586482148,-0.586052606778284,0.035,0.085,1,68,2,4,1.88982236504614,1,3.5,4.5,1,67,2,7,1.32854174768777,0,20,22.5,1,64,2,8,1.16051770637132,0,0.015,0.105,1,65,2,7,1.29805034628574,0,3.1,4.9,1,67,2,7,1.32854174768777,0,18.4,22.9,1,64,2,8,1.16051770637132,0,0.165,0.435,1,50,2,25,0,0,NA,NA,1.36914581247915,0.241958699149428,NA,NA,1,2,49,25,NA,NA,NA,NA,NA,-0.0955940786163268,-0.645542949736767,1,2,8,67,0.225,0.375,1.20498160829471,0,0
"7",-3.51079039642562,-1.49327671715784,-1.19557512160919,-3.80478688645201,-0.876649276251483,0.035,0.085,1,67,2,7,1.32854174768777,0,3.5,4.5,1,69,2,6,1.50540274496471,0,20,22.5,1,69,2,5,1.68351150026809,1,0.015,0.105,1,64,2,10,0.96173017261856,0,3.1,4.9,1,69,2,6,1.50540274496471,0,18.4,22.9,1,69,2,5,1.68351150026809,1,0.165,0.435,1,47,2,28,-0.140572870351852,0,NA,NA,1.4161220043573,0.234042758208666,NA,NA,1,2,50,25,NA,NA,NA,NA,NA,0.00752329581065562,-0.655089684371391,1,2,8,67,0.225,0.375,1.20498160829471,0,0
"8",-3.46706766670159,-1.4805932184605,-1.07183560950053,-3.41052528301128,-0.658507610189842,0.035,0.085,1,67,2,6,1.47425925499111,0,3.5,4.5,1,68,2,7,1.34355604912592,0,20,22.5,1,67,2,6,1.47425925499111,0,0.015,0.105,1,63,2,10,0.947327562740651,0,3.1,4.9,1,68,2,7,1.34355604912592,0,18.4,22.9,1,67,2,6,1.47425925499111,0,0.165,0.435,1,44,2,31,-0.276232416320183,0,NA,NA,1.66513167013167,0.196911878000721,NA,NA,1,2,51,23,NA,NA,NA,NA,NA,0.021174898376958,-0.70384911805923,1,2,11,64,0.225,0.375,0.878704280245187,0,0
"9",-1.18701433107684,-1.48757998362592,-0.364634063841692,-1.13450030264775,-0.204293080843732,0.035,0.28,1,44,2,28,-0.193600773165592,0,3.5,4.5,1,68,2,6,1.48990597683875,0,20,31.5,1,41,2,31,-0.333590622602573,0,0.015,0.456,1,30,2,42,-0.857804458120901,0,3.1,4.9,1,68,2,6,1.48990597683875,0,18.4,39.1,1,27,2,45,-1.01640405911936,0,0.15,0.285,2,57,1,18,1.65958033748045,1,NA,NA,1.51085021673257,0.219009396673522,NA,NA,1,2,50,24,NA,NA,NA,NA,NA,-0.506583506341594,-0.674380008532105,2,1,16,59,0.15,0.225,1.82744508961434,1,0
"10",-0.843673456032622,-2.08803435679096,-0.537711099192775,-0.836427311001305,-0.451032430997673,0.06,0.305,1,47,2,25,-0.0495268032343955,0,4,5,2,26,1,48,0.0641153448412373,0,20.5,32,1,43,2,29,-0.240562612162344,0,0.02,0.461,1,33,2,39,-0.708683386892301,0,3.2,5,2,26,1,48,0.0641153448412373,0,18.5,39.2,1,27,2,45,-1.01640405911936,0,0.15,0.42,2,45,1,30,0.920774721067277,0,NA,NA,0.0405194805194805,0.840468293613563,NA,NA,2,1,54,21,NA,NA,NA,NA,NA,-0.329253169791604,-0.118757959890581,2,1,22,53,0.15,0.3,1.37382946809544,0,0
