"","Velocity","Substrate","Depth","Velocity_full","Depth_full","Velocity_25","Velocity_75","Velocity_25_Suit_Used","Velocity_25_UnSuit_Avail","Velocity_25_UnSuit_Used","Velocity_25_Suit_Avail","Velocity_t_stat_50","Velocity_p_50","Substrate_25","Substrate_75","Substrate_25_Suit_Used","Substrate_25_UnSuit_Avail","Substrate_25_UnSuit_Used","Substrate_25_Suit_Avail","Substrate_t_stat_50","Substrate_p_50","Depth_25","Depth_75","Depth_25_Suit_Used","Depth_25_UnSuit_Avail","Depth_25_UnSuit_Used","Depth_25_Suit_Avail","Depth_t_stat_50","Depth_p_50","Velocity_5","Velocity_95","Velocity_5_Suit_Used","Velocity_5_UnSuit_Avail","Velocity_5_UnSuit_Used","Velocity_5_Suit_Avail","Velocity_t_stat_90","Velocity_p_90","Substrate_5","Substrate_95","Substrate_5_Suit_Used","Substrate_5_UnSuit_Avail","Substrate_5_UnSuit_Used","Substrate_5_Suit_Avail","Substrate_t_stat_90","Substrate_p_90","Depth_5","Depth_95","Depth_5_Suit_Used","Depth_5_UnSuit_Avail","Depth_5_UnSuit_Used","Depth_5_Suit_Avail","Depth_t_stat_90","Depth_p_90","Instream_5","Instream_95","Instream_5_Suit_Used","Instream_5_UnSuit_Avail","Instream_5_UnSuit_Used","Instream_5_Suit_Avail","Instream_t_stat_90","Instream_p_90","Canopy_5","Canopy_95","Canopy_Chi","Canopy_P","Canopy_0.05","Canopy_0.1","OccCan","OccNoCan","AvailCan","AvailNoCan","Ratio_Pool","Ratio_Riffle","Ratio_Run","Mesohabitat_Riffle","Mesohabitat_Run","Instream","Canopy","Instream_25_Suit_Used","Instream_25_UnSuit_Used","Instream_25_Suit_Avail","Instream_25_UnSuit_Avail","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","C_Prob_Support0.05"
"1",-0.156563615434475,0.979763739299712,0.458865576989147,-0.212522537454701,0.471993973150743,0.265,0.395,3,41,4,12,1.16090865053143,0,5.5,6,5,35,2,18,1.91619053479386,1,37.5,61,3,18,4,35,-1.19614542329249,0,0.072,0.808,5,11,2,42,-0.471808828506379,0,4.3,6,6,19,1,34,1.137453532714,0,34.2,68.5,5,14,2,39,-0.121252953997922,0,0.23,0.64,5,22,2,32,0.620112329506492,0,NA,NA,1.04833512352309,0.305890834649144,NA,NA,6,1,36,18,NA,NA,NA,NA,NA,0.367343769789247,0.508864840690083,4,3,14,40,0.35,0.5,1.70384680627973,1,0
"2",-1.01437726115565,0.304947176527586,0.527879834158579,-1.12283917865256,0.593486925797353,0.12,0.355,3,31,4,22,0.0679758502044124,0,4.5,6,5,16,2,37,0.087756445261993,0,45,63.5,3,31,4,22,0.0679758502044124,0,0,0.409,6,22,1,31,1.3923398849941,0,3.3,6,6,11,1,42,0.402150553133332,0,34.5,68.5,5,18,2,35,0.2843633831785,0,0.13,0.605,5,16,2,38,0.0577575188569401,0,NA,NA,1.42087427563618,0.233259555202754,NA,NA,6,1,34,20,NA,NA,NA,NA,NA,0.133820567146292,0.584141768257224,3,4,18,36,0.25,0.45,0.498978548473514,0,0
"3",-1.425165385759,0.445595430667623,0.0638303365024361,-1.40965494788479,0.0883368620109231,0.12,0.33,3,34,4,19,0.361625360530288,0,5,6,5,17,2,36,0.187311004922313,0,35.5,59.5,3,25,4,28,-0.496261459634819,0,0,0.409,6,23,1,30,1.47759548243202,0,3.3,6,6,11,1,42,0.402150553133332,0,30.9,64.1,5,16,2,37,0.087756445261993,0,0.13,0.7,6,12,1,42,0.4824451862682,0,NA,NA,1.04833512352309,0.305890834649144,NA,NA,6,1,36,18,NA,NA,NA,NA,NA,0.34264816470935,0.508864840689857,3,4,22,32,0.25,0.55,0.107124239025132,0,0
"4",-1.40111390484524,0.279796173001064,0.498783424165669,-1.77516330604251,0.754368864320673,0.14,0.325,3,37,4,17,0.603226687442965,0,4.5,6,5,18,2,36,0.252513497069148,0,45,63.5,3,32,4,22,0.107124239025132,0,0,0.357,6,27,1,27,1.78409017052086,1,3.3,6,6,11,1,43,0.381029140037026,0,30.9,68.5,5,11,2,43,-0.498526692477139,0,0.16,0.7,6,18,1,36,1.0238823777774,0,NA,NA,0.880894275597118,0.347956861516782,NA,NA,6,1,37,17,NA,NA,NA,NA,NA,0.324427465689275,0.469698812759137,3,4,20,34,0.35,0.675,0.298941343568485,0,0
"5",-0.317498595458568,1.24219915976803,0.29079890574123,-0.37803411366757,0.323472970734205,0.26,0.355,3,44,4,10,1.47949857122248,0,5.5,6,5,36,2,18,1.95670697608463,1,35,62,3,19,4,35,-1.12782415982656,0,0.072,0.786999999999999,5,10,2,44,-0.629526405278564,0,4.3,6,6,19,1,35,1.10825368158126,0,30.9,68.5,5,14,2,40,-0.149710675311332,0,0.23,0.685,5,24,2,30,0.799005137554059,0,NA,NA,1.42087427563618,0.233259555202754,NA,NA,6,1,34,20,NA,NA,NA,NA,NA,0.669595235934198,0.584141768257361,3,4,15,39,0.35,0.575,0.823044643711397,0,0
"6",-0.718081268479872,0.934727745365491,0.105045471627697,-0.807694934918355,0.272281282862818,0.26,0.355,3,44,4,10,1.47949857122248,0,6,6,6,35,1,19,2.55759120672504,1,35.5,58,3,27,4,27,-0.355665145681348,0,0.072,0.409,5,24,2,30,0.799005137554059,0,3.9,6,6,11,1,43,0.381029140037026,0,30.9,61.1,5,19,2,35,0.346512880884385,0,0.13,0.7,6,16,1,38,0.851914896257175,0,NA,NA,1.22822622273842,0.26775227303132,NA,NA,6,1,35,19,NA,NA,NA,NA,NA,0.240005805073214,0.546956597902859,3,4,25,29,0.25,0.675,-0.171801275679787,0,0
"7",-0.190813307389441,0.935931201683914,-0.0379176304603858,-0.193493216925904,0.0100775020762783,0.26,0.395,3,40,4,13,1.03065010898234,0,6,6,6,34,1,19,2.51510645756326,1,35,54.5,3,26,4,27,-0.402150553133332,0,0.072,0.808,5,12,2,41,-0.348632939379108,0,3.9,6,6,11,1,42,0.402150553133332,0,30.9,60.5,5,21,2,32,0.56520728004711,0,0.13,0.7,6,14,1,40,0.672894763638632,0,NA,NA,0.725758990464873,0.394261328413598,NA,NA,6,1,38,16,NA,NA,NA,NA,NA,0.214098602611099,0.429265739791031,3,4,29,25,0.25,0.6,-0.540665784063093,0,0
"8",-0.869424079671645,0.390900381696926,0.435284932817173,-0.987224805912418,0.5352871376463,0.12,0.355,3,30,4,24,-0.0795516015479856,0,5,6,5,17,2,37,0.156426474382658,0,45,60.5,3,37,4,17,0.603226687442965,0,0,0.409,6,21,1,33,1.27543497550223,0,3.3,6,6,10,1,44,0.274067573990494,0,34.5,64.1,5,17,2,37,0.156426474382658,0,0.13,0.685,5,15,2,39,-0.044064563599509,0,NA,NA,1.42087427563618,0.233259555202754,NA,NA,6,1,34,20,NA,NA,NA,NA,NA,0.175140780693604,0.584141768257179,3,4,21,33,0.25,0.525,0.202210542230378,0,0
"9",-0.44696507805686,0.459250692817467,0.559140081762392,-0.592461769056654,0.629731695636851,0.12,0.39,3,27,4,26,-0.308486853286509,0,5,6,5,18,2,35,0.2843633831785,0,45,60.5,3,35,4,18,0.463725159621904,0,0,0.808,6,9,1,44,0.179847194799054,0,3.3,6,6,11,1,42,0.402150553133332,0,37.3,64.1,5,20,2,33,0.472894702231916,0,0.13,0.685,5,19,2,35,0.346512880884385,0,NA,NA,3.31007751937984,0.068856243918,NA,NA,7,0,36,18,NA,NA,NA,NA,NA,0.218455083695237,7.43686419493161,3,4,11,43,0.3,0.575,1.33114386983044,0,0
"10",-0.0949145589045979,1.68284087525262,0.174550514086454,-0.137763643188722,0.199627225306067,0.285,0.355,3,44,4,9,1.60860221253333,0,6,6,6,35,1,18,2.62683641321247,1,35,58,3,26,4,27,-0.402150553133332,0,0.252,0.786999999999999,5,28,2,25,1.2064516594,0,5.3,6,6,35,1,18,2.62683641321247,1,30.9,66.7,5,16,2,37,0.087756445261993,0,0.23,0.7,6,21,1,33,1.27543497550223,0,NA,NA,0.880894275597118,0.347956861516782,NA,NA,6,1,37,17,NA,NA,NA,NA,NA,0.381193187589819,0.469698812759398,3,4,20,34,0.4,0.675,0.298941343568485,0,0
