"","Velocity","Substrate","Depth","Velocity_full","Depth_full","Velocity_25","Velocity_75","Velocity_25_Suit_Used","Velocity_25_UnSuit_Avail","Velocity_25_UnSuit_Used","Velocity_25_Suit_Avail","Velocity_t_stat_50","Velocity_p_50","Substrate_25","Substrate_75","Substrate_25_Suit_Used","Substrate_25_UnSuit_Avail","Substrate_25_UnSuit_Used","Substrate_25_Suit_Avail","Substrate_t_stat_50","Substrate_p_50","Depth_25","Depth_75","Depth_25_Suit_Used","Depth_25_UnSuit_Avail","Depth_25_UnSuit_Used","Depth_25_Suit_Avail","Depth_t_stat_50","Depth_p_50","Velocity_5","Velocity_95","Velocity_5_Suit_Used","Velocity_5_UnSuit_Avail","Velocity_5_UnSuit_Used","Velocity_5_Suit_Avail","Velocity_t_stat_90","Velocity_p_90","Substrate_5","Substrate_95","Substrate_5_Suit_Used","Substrate_5_UnSuit_Avail","Substrate_5_UnSuit_Used","Substrate_5_Suit_Avail","Substrate_t_stat_90","Substrate_p_90","Depth_5","Depth_95","Depth_5_Suit_Used","Depth_5_UnSuit_Avail","Depth_5_UnSuit_Used","Depth_5_Suit_Avail","Depth_t_stat_90","Depth_p_90","Instream_5","Instream_95","Instream_5_Suit_Used","Instream_5_UnSuit_Avail","Instream_5_UnSuit_Used","Instream_5_Suit_Avail","Instream_t_stat_90","Instream_p_90","Canopy_5","Canopy_95","Canopy_Chi","Canopy_P","Canopy_0.05","Canopy_0.1","OccCan","OccNoCan","AvailCan","AvailNoCan","Ratio_Pool","Ratio_Riffle","Ratio_Run","Mesohabitat_Riffle","Mesohabitat_Run","Instream","Canopy","Instream_25_Suit_Used","Instream_25_UnSuit_Used","Instream_25_Suit_Avail","Instream_25_UnSuit_Avail","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","C_Prob_Support0.05"
"1",0.196015189970513,-0.522103660653231,-0.115156098147405,0.150402212998116,-0.200649168310044,0.015,0.06,3,243,3,70,1.59619491080224,0,1.5,4.5,3,216,4,91,0.754900458465594,0,56.5,104.5,3,221,4,109,0.546178433223085,0,0,0.075,5,33,1,280,-0.481485817709726,0,1,5,7,113,0,194,2.00625369374765,1,50.6,140.2,5,168,2,162,1.1697039752226,0,0,0.44,6,29,1,305,-0.517947104866605,0,NA,NA,0.265943028537297,0.606066298999769,NA,NA,4,3,149,166,NA,NA,NA,NA,NA,0.119001092401727,0.19746966653259,5,2,269,65,0,0.25,-0.600373973025104,0,0
"2",0.0380472620334994,-1.03200181624726,0.324553794367295,0.140202660129484,0.312401994009036,0,0.055,4,57,2,251,-0.92080635380322,0,1,2,6,215,1,93,3.1288199792909,1,78.5,133,3,240,4,90,0.912798828038083,0,0,0.09,5,30,1,278,-0.563312963253883,0,1,5.5,6,111,1,197,1.18890378878524,0,64.2,151,6,129,1,201,1.33415636834316,0,0,0.71,6,9,1,325,-1.79891328912313,0,NA,NA,1.57137825830969,0.210006970052789,NA,NA,5,2,152,168,NA,NA,NA,NA,NA,0.286917478271819,0.507180024586869,5,2,295,39,0,0.4,-1.36018968168057,0,0
"3",0.274652652889336,-0.949743589132095,-0.0812176842661984,0.246186292635422,-0.146199328149834,0.035,0.06,3,286,3,25,3.5876299128887,1,1,3,6,169,1,141,2.11072123706698,1,71.5,96,3,272,4,58,1.71910478466757,1,0.0225,0.075,4,258,2,53,3.13516712306328,1,1,4.4,6,144,1,166,1.68930070084038,1,62.8,109.9,5,238,2,92,2.51834631814195,1,0,0.44,6,34,1,300,-0.354267598792126,0,NA,NA,0.41409618961096,0.519897729149297,NA,NA,4,3,141,173,NA,NA,NA,NA,NA,0.171948405888096,0.24561916401853,3,4,97,237,0.05,0.25,0.794600688688599,0,0
"4",0.151528302547794,-0.220037343512032,0.279678325419667,0.232747359429578,0.297491202554044,0.0125,0.06,3,242,3,65,1.69583806156639,1,1.25,5.75,2,176,4,134,-0.48472920350532,0,67,133,4,231,3,100,1.52776066656212,0,0,0.075,5,37,1,270,-0.342758423251931,0,1,6.75,5,65,1,245,0.256705447045535,0,62.8,151,6,131,1,200,1.35728913769722,0,0,0.44,6,36,1,298,-0.295278029935374,0,NA,NA,1.72649472702371,0.188859173037893,NA,NA,5,2,147,170,NA,NA,NA,NA,NA,0.0581442082155742,0.529776352552993,5,2,264,70,0,0.25,-0.488463987206368,0,0
"5",0.320315735752415,-0.22280377337128,-0.389956736892869,0.313431286123029,-0.0326264547288935,0.06,0.08,4,286,2,25,4.93396302498208,1,2.5,5,4,205,3,106,1.26841115440383,0,58.5,80.5,3,269,4,62,1.60276237689182,0,0.015,0.0875,4,224,2,87,2.07508596602319,1,1.3,6.4,5,129,2,182,0.686173930821557,0,23.8,133.9,5,100,2,231,0.0935454874775038,0,0,0.27,6,68,1,266,0.395853312148236,0,NA,NA,1.83892739485731,0.175076715168228,NA,NA,5,2,145,173,NA,NA,NA,NA,NA,-0.466981883793005,0.545341446975357,5,2,226,108,0,0.1,0.210831391777142,0,0
"6",0.250491074939166,-0.98735795173025,0.183931503273426,0.333907820921823,0.332865868013814,0.02,0.075,3,243,4,67,1.33999504652033,0,1,2.5,5,223,2,82,2.59841185445803,1,67,122.5,4,242,3,89,1.77373540425941,1,0,0.118,6,22,1,288,-0.725081424547534,0,1,5.1,6,115,1,190,1.26762656346062,0,63.5,151,6,129,1,202,1.32858094213717,0,0,0.65,6,13,1,321,-1.3715868589052,0,NA,NA,0.390390188419606,0.532094373463088,NA,NA,4,3,143,173,NA,NA,NA,NA,NA,0.231606053104447,0.238590749890701,5,2,269,65,0,0.25,-0.600373973025104,0,0
"7",0.208608708712717,-1.1942993387448,0.201288231052655,0.265753015780476,0.180015344288132,0.01,0.06,3,212,2,94,1.40190872707391,0,1,3,6,181,1,128,2.34472922998469,1,75.25,110.75,2,260,4,70,0.71710057976965,0,0.002,0.084,3,200,2,106,1.17890082333053,0,1,4.4,6,158,1,151,1.92808073212957,1,63.75,142,4,205,2,125,1.43691762354197,0,0,0.47,6,33,1,301,-0.385020199342372,0,NA,NA,0.0317276060032683,0.858626814032144,NA,NA,3,4,148,172,NA,NA,NA,NA,NA,0.00636413583810658,-0.0685637906520441,5,2,264,70,0,0.25,-0.488463987206368,0,0
"8",0.205717558942474,0.191662945072885,-0.313727788925866,0.14432146047045,-0.302384346552359,0.025,0.07,4,260,3,55,2.68427997737613,1,3.5,6,3,201,4,107,0.445446626473798,0,59.5,80.5,3,265,4,66,1.48863823328259,0,0,0.077,6,38,1,277,-0.178235495450719,0,1.6,7,6,61,1,247,0.363179858168825,0,49.6,133.9,5,161,2,170,1.05156339430857,0,0,0.17,6,99,1,235,0.883162994548629,0,NA,NA,0.247415599951097,0.618900740517677,NA,NA,4,3,152,167,NA,NA,NA,NA,NA,-0.773410929252824,0.1905193710759,5,2,191,143,0,0.075,0.754374731375401,0,0
"9",0.0595196204829334,-0.463049754322605,-0.0475661500009628,0.124988827117892,0.192757444326912,0.01,0.05,3,227,2,83,1.65435873958671,1,1.25,4.5,2,211,4,96,0.107914222147266,0,77,104.5,3,274,4,56,1.78345329565812,1,0.002,0.058,3,227,2,83,1.65435873958671,1,1,6.5,5,67,1,240,0.303398523255757,0,27.7,140.2,5,107,2,223,0.215634524098155,0,0,0.71,6,8,1,326,-1.94226925428324,0,NA,NA,1.78932946764232,0.181007881961739,NA,NA,5,2,147,173,NA,NA,NA,NA,NA,0.268455682754923,0.538505598245113,5,2,288,46,0,0.35,-1.114234511895,0,0
"10",0.214232973668823,-0.284732425534767,0.0253903437381236,0.235089473266893,0.0852235508078819,0,0.07,5,37,2,275,-1.33490564558906,0,1,5.5,5,119,2,188,0.547796674508965,0,62,122.5,3,216,4,115,0.445657108776568,0,0,0.115,6,19,1,293,-0.884649962624924,0,1,6.7,6,69,1,238,0.514772515180725,0,59.6,151,6,102,1,229,0.940246149825886,0,0,0.2,7,79,0,255,1.46796559171887,0,NA,NA,4.04420365574038,0.0443232860659424,NA,NA,6,1,150,167,NA,NA,NA,NA,NA,-0.716473123937988,0.947677232210866,5,2,217,117,0,0.1,0.354798614684502,0,0
"11",0.301199569228726,-0.312080422216233,-0.210262836764485,0.278260856989598,-0.119172100118875,0.02,0.08,4,232,3,76,1.95141668520685,1,1,5,6,117,1,196,1.25252853537662,0,58.5,85,3,253,4,78,1.18329705944007,0,0.003,0.171,5,191,2,117,1.79600521556327,1,1,5.7,6,117,1,196,1.25252853537662,0,51.8,133.9,5,170,2,161,1.19346857537949,0,0,0.34,6,53,1,281,0.113506003306408,0,NA,NA,1.00092193099571,0.317087530336875,NA,NA,4,2,148,173,NA,NA,NA,NA,NA,-0.391433378615647,0.423771797691036,5,2,212,122,0,0.1,0.433039159149562,0,0
"12",0.250044590174562,-0.0500970929056054,-0.405729775426622,0.230950120704363,-0.0775126661096704,0.0425,0.0675,2,298,4,16,2.97376364775906,1,2.5,5.5,3,201,4,105,0.470137308817788,0,60,80.5,3,275,4,56,1.7891291752407,1,0.01,0.0775,4,213,2,101,1.78292886898125,1,1,6.7,6,69,1,237,0.518780382563661,0,24.7,133.9,5,107,2,224,0.210321463800478,0,0,0.17,6,99,1,235,0.883162994548629,0,NA,NA,0.650304713721887,0.420003757522027,NA,NA,2,5,139,178,NA,NA,NA,NA,NA,-0.674416378818987,-0.333827565926057,6,1,223,111,0,0.1,1.05640855561265,0,0
"13",0.0571132521830888,-0.577371666203529,0.283434553359122,0.141472754592584,0.257959207512958,0.01,0.05,3,228,3,84,1.25596856080592,0,2,3,4,238,2,71,2.48856608613244,1,76,133,3,239,4,92,0.877315537212701,0,0,0.0575,5,54,1,258,0.0411227987960258,0,1.25,6,4,136,2,173,0.522203076234975,0,52.3,151,6,89,1,242,0.746502195869462,0,0,0.71,6,7,1,327,-2.10878685533851,0,NA,NA,1.55317958292271,0.212666661511365,NA,NA,5,2,151,166,NA,NA,NA,NA,NA,0.415399539859409,0.50449759738374,5,2,300,34,0,0.4,-1.56719205609241,0,0
