"","Velocity","Substrate","Depth","Velocity_full","Depth_full","Velocity_25","Velocity_75","Velocity_25_Suit_Used","Velocity_25_UnSuit_Avail","Velocity_25_UnSuit_Used","Velocity_25_Suit_Avail","Velocity_t_stat_50","Velocity_p_50","Substrate_25","Substrate_75","Substrate_25_Suit_Used","Substrate_25_UnSuit_Avail","Substrate_25_UnSuit_Used","Substrate_25_Suit_Avail","Substrate_t_stat_50","Substrate_p_50","Depth_25","Depth_75","Depth_25_Suit_Used","Depth_25_UnSuit_Avail","Depth_25_UnSuit_Used","Depth_25_Suit_Avail","Depth_t_stat_50","Depth_p_50","Velocity_5","Velocity_95","Velocity_5_Suit_Used","Velocity_5_UnSuit_Avail","Velocity_5_UnSuit_Used","Velocity_5_Suit_Avail","Velocity_t_stat_90","Velocity_p_90","Substrate_5","Substrate_95","Substrate_5_Suit_Used","Substrate_5_UnSuit_Avail","Substrate_5_UnSuit_Used","Substrate_5_Suit_Avail","Substrate_t_stat_90","Substrate_p_90","Depth_5","Depth_95","Depth_5_Suit_Used","Depth_5_UnSuit_Avail","Depth_5_UnSuit_Used","Depth_5_Suit_Avail","Depth_t_stat_90","Depth_p_90","Instream_5","Instream_95","Instream_5_Suit_Used","Instream_5_UnSuit_Avail","Instream_5_UnSuit_Used","Instream_5_Suit_Avail","Instream_t_stat_90","Instream_p_90","Canopy_5","Canopy_95","Canopy_Chi","Canopy_P","Canopy_0.05","Canopy_0.1","OccCan","OccNoCan","AvailCan","AvailNoCan","Ratio_Pool","Ratio_Riffle","Ratio_Run","Mesohabitat_Riffle","Mesohabitat_Run","Instream","Canopy","Instream_25_Suit_Used","Instream_25_UnSuit_Used","Instream_25_Suit_Avail","Instream_25_UnSuit_Avail","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","C_Prob_Support0.05"
"1",-0.959812013320343,-0.0540688436309178,0.438091181383436,-1.02170315474667,0.452021861196376,0.055,0.12,4,411,3,63,3.32628738514918,1,4,5.5,4,225,3,255,0.211500454444175,0,32,42,3,324,4,153,0.605923436696163,0,0.003,0.232,5,226,2,248,1.00506909990712,0,3.3,6,6,90,1,390,0.300827692074265,0,30,48.2,6,248,1,229,1.98155712445266,1,0,0.48,6,80,1,400,0.16794972716936,0,NA,NA,0.127228771015184,0.721322827435834,NA,NA,4,2,349,128,NA,NA,NA,NA,NA,-0.414760524433124,-0.138880902467046,4,3,189,291,0.05,0.2,0.954150436545386,0,0
"2",-0.546292936427736,-0.225095500052809,0.8439136936005,-0.632807973496291,0.86841203932873,0.07,0.1675,3,370,3,103,1.65495705530453,1,4.25,5,4,280,2,200,1.23314671208129,0,34,49.75,2,282,4,193,-0.361837122386067,0,0.0175,0.3475,4,165,2,308,0.0791915247714405,0,3.25,5,5,214,1,266,1.36827711764098,0,26,57.5,4,141,2,334,-0.194337708990217,0,0,0.759999999999999,6,16,1,464,-1.56736184715025,0,NA,NA,0.0834790551630629,0.772636918527204,NA,NA,4,2,342,133,NA,NA,NA,NA,NA,-0.408500274308933,-0.112627933412506,5,2,211,269,0,0.15,1.4523959256251,0,0
"3",-0.184428799683208,-0.31586382192965,0.649492653883689,-0.183910822579491,0.638837696443378,0,0.17,5,224,2,249,0.988462812481957,0,4,5,6,221,1,259,1.67478798715877,1,34,45,3,329,4,146,0.688838622327917,0,0,0.645,6,27,1,446,-0.961194186155799,0,3.3,5,6,221,1,259,1.67478798715877,1,27.3,57,5,196,2,279,0.677560968472718,0,0,0.82,6,11,1,469,-2.03218134454732,0,NA,NA,1.8108040648957,0.178411804836826,NA,NA,3,3,352,122,NA,NA,NA,NA,NA,0.211355415455234,-0.474870066258414,3,4,241,239,0.1,0.35,-0.386183527516118,0,0
"4",-0.129770195460543,-0.0816565064064049,0.708243962478107,-0.140295894373177,0.701915434708328,0.04,0.385,3,180,4,294,-1.03586778476719,0,4,5.5,4,222,3,258,0.178754831299273,0,37,48,3,346,4,130,0.914094268987721,0,0,0.42,7,74,0,400,1.13645185695145,0,3.3,6,6,82,1,398,0.195430780625969,0,23.4,59.1,5,112,2,364,-0.311863638864231,0,0.015,0.405,5,170,2,310,0.376186475206633,0,NA,NA,0.997547776505698,0.317904602585214,NA,NA,4,3,351,124,NA,NA,NA,NA,NA,-0.478867263522357,-0.337381552665601,3,4,194,286,0.075,0.25,0.130610045956492,0,0
"5",-0.328050022218733,-0.120130840222263,0.325481792941026,-0.344497786046267,0.32223847521338,0.04,0.27,3,231,4,243,-0.441811550772057,0,3.5,5.5,3,224,4,256,-0.551467851587775,0,29,40.5,3,326,4,151,0.6316387176127,0,0.003,0.364,5,154,2,320,0.219823298354605,0,3,6,7,26,0,454,0.632891252642765,0,25.2,54.2,5,144,2,333,0.0925493670821188,0,0.03,0.57,5,135,2,345,-0.026079051694528,0,NA,NA,1.48791507139256,0.222540230250314,NA,NA,3,3,342,130,NA,NA,NA,NA,NA,0.179211278480056,-0.433490149815009,3,4,176,304,0.15,0.475,0.337253373950559,0,0
"6",-0.60343396576781,-0.396972174861006,0.570200001817208,-0.665487249853266,0.569161095745829,0.02,0.185,3,287,4,188,0.176031753095841,0,3.5,5,4,223,3,257,0.189673098540402,0,37.5,47,3,374,4,103,1.35043593961395,0,0,0.36,6,99,1,376,0.424670903795317,0,2.3,5.7,5,153,2,327,0.18628716340941,0,24.5,49.4,5,167,2,310,0.354776056486519,0,0.03,0.2,6,278,1,202,2.31683466778575,1,NA,NA,0.787968023493582,0.374715258605357,NA,NA,4,3,342,131,NA,NA,NA,NA,NA,-1.02666970789664,-0.301129699936726,4,3,115,365,0.1,0.15,2.02848742263367,1,0
"7",-1.90178582941021,-0.203148120747153,0.808949970977191,-2.1012424693106,0.831047532545169,0,0.125,5,283,2,191,1.6641183256703,1,4,5,7,221,0,259,2.42911569715719,1,35.5,49,3,312,4,164,0.464063406269169,0,0,0.171,6,228,1,246,1.7783170512402,1,4,5,7,221,0,259,2.42911569715719,1,28.9,61.2,5,197,2,279,0.683853754773033,0,0,0.355,6,139,1,341,0.851555593445468,0,NA,NA,0.795091622936539,0.372564957355547,NA,NA,4,3,343,131,NA,NA,NA,NA,NA,-0.808670907928445,-0.302438183958917,5,2,262,218,0,0.225,0.889087085689208,0,0
"8",-1.14159312183028,-0.150052759091457,0.484338148207541,-1.28692313570497,0.538100457048986,0.035,0.12,4,369,3,105,2.19523919471295,1,4,5,5,216,2,264,0.86781975635331,0,27,54,3,174,4,302,-1.12094747718916,0,0,0.218,6,194,1,280,1.42523438033468,0,3.3,5.7,5,216,2,264,0.86781975635331,0,19.8,58.7,5,64,2,412,-1.15667569570092,0,0,0.2,7,212,0,268,2.3398847420462,1,NA,NA,0.93094460735026,0.334617589692437,NA,NA,4,3,348,126,NA,NA,NA,NA,NA,-1.24310346541697,-0.326364060703528,3,4,138,342,0.05,0.15,0.817006624395156,0,0
"9",-0.563803083163763,0.0859484585736428,0.376818854468195,-0.608420876631428,0.391908356398819,0.05,0.19,3,310,4,164,0.455577063082104,0,4.5,5.5,3,289,4,191,0.164474051847481,0,29,44.5,3,271,4,205,-0.0111434865861157,0,0.003,0.372,5,144,2,330,0.103296775849645,0,3.3,6,6,90,1,390,0.300827692074265,0,22.4,55.1,5,106,2,370,-0.397294773757348,0,0.03,0.39,5,220,2,260,0.910381473807014,0,NA,NA,10.1937922624233,0.00140914221122229,NA,NA,1,5,352,121,NA,NA,NA,NA,NA,-0.495524771487708,-1.19983699807432,4,3,172,308,0.1,0.225,1.1651218203962,0,0
"10",-0.991440749323289,-0.507740701617736,0.201495915787742,-1.01735447525712,0.218469626817759,0.03,0.125,3,352,4,120,1.04807573443356,0,3.5,4.5,3,409,4,71,2.05359902256617,1,28,40,5,296,2,179,1.82433045273535,1,0,0.29,6,133,1,339,0.812827664210095,0,3,5.7,6,155,1,325,1.01361708108322,0,25.2,47,5,193,2,282,0.64537748883381,0,0,0.495,6,84,1,396,0.222431406484659,0,NA,NA,3.12025873507298,0.077324504928796,NA,NA,3,4,347,129,NA,NA,NA,NA,NA,-0.569666475994315,-0.572381666225828,5,2,276,204,0,0.225,0.740549213186637,0,0
