"","Velocity","Substrate","Depth","Velocity_full","Depth_full","Velocity_25","Velocity_75","Velocity_25_Suit_Used","Velocity_25_UnSuit_Avail","Velocity_25_UnSuit_Used","Velocity_25_Suit_Avail","Velocity_t_stat_50","Velocity_p_50","Substrate_25","Substrate_75","Substrate_25_Suit_Used","Substrate_25_UnSuit_Avail","Substrate_25_UnSuit_Used","Substrate_25_Suit_Avail","Substrate_t_stat_50","Substrate_p_50","Depth_25","Depth_75","Depth_25_Suit_Used","Depth_25_UnSuit_Avail","Depth_25_UnSuit_Used","Depth_25_Suit_Avail","Depth_t_stat_50","Depth_p_50","Velocity_5","Velocity_95","Velocity_5_Suit_Used","Velocity_5_UnSuit_Avail","Velocity_5_UnSuit_Used","Velocity_5_Suit_Avail","Velocity_t_stat_90","Velocity_p_90","Substrate_5","Substrate_95","Substrate_5_Suit_Used","Substrate_5_UnSuit_Avail","Substrate_5_UnSuit_Used","Substrate_5_Suit_Avail","Substrate_t_stat_90","Substrate_p_90","Depth_5","Depth_95","Depth_5_Suit_Used","Depth_5_UnSuit_Avail","Depth_5_UnSuit_Used","Depth_5_Suit_Avail","Depth_t_stat_90","Depth_p_90","Instream_5","Instream_95","Instream_5_Suit_Used","Instream_5_UnSuit_Avail","Instream_5_UnSuit_Used","Instream_5_Suit_Avail","Instream_t_stat_90","Instream_p_90","Canopy_5","Canopy_95","Canopy_Chi","Canopy_P","Canopy_0.05","Canopy_0.1","OccCan","OccNoCan","AvailCan","AvailNoCan","Ratio_Pool","Ratio_Riffle","Ratio_Run","Mesohabitat_Riffle","Mesohabitat_Run","Instream","Canopy","Instream_25_Suit_Used","Instream_25_UnSuit_Used","Instream_25_Suit_Avail","Instream_25_UnSuit_Avail","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","C_Prob_Support0.05"
"1",-0.444789442990373,0.131052996810781,0.681262229694097,-0.48997611759715,0.681379975067827,0.07,0.19,5,344,4,129,1.87610076179031,1,5,6,7,173,2,307,0.856846523312777,0,30,51,5,229,4,246,0.224009107674748,0,0.048,0.304,7,222,2,251,1.47249412838401,0,3,6,9,28,0,452,0.74624875325548,0,20.6,55.2,7,91,2,384,-0.231151152945011,0,0,0.46,8,85,1,395,0.51505744301009,0,NA,NA,0.118586248367291,0.730572904068711,NA,NA,6,3,340,133,NA,NA,NA,NA,NA,-0.0562022040294761,-0.109118090493783,6,3,283,197,0.1,0.4,0.466007461477012,0,0
"2",-0.285186426010337,-0.00795821769197408,1.03161699918792,-0.273466283609984,1.01574516446901,0.08,0.27,5,293,4,181,1.06083209594354,0,4,5,6,228,3,252,0.843428234619035,0,43,54,6,387,3,89,3.59222770701816,1,0.016,0.304,7,186,2,288,1.03731301725782,0,3.4,6,8,91,1,389,0.596792129885146,0,30.8,55.2,7,231,2,245,1.56491885559236,0,0.07,0.66,7,132,2,348,0.351706850430723,0,NA,NA,0.0621876414341332,0.803071107954532,NA,NA,7,2,352,123,NA,NA,NA,NA,NA,0.283360283706792,0.0894980276776365,5,4,166,314,0.2,0.4,1.30716117071877,0,0
"3",-0.0867572165686235,0.208950010991432,0.369483322724918,-0.0937156584861451,0.363639970712653,0.11,0.33,5,271,4,204,0.756491228070175,0,5,6,7,159,2,321,0.689578326959506,0,28,46,5,234,4,244,0.268128423957345,0,0.016,0.41,7,153,2,322,0.636236672723198,0,3.4,6,8,89,1,391,0.56991473539923,0,24.2,52.4,7,147,2,331,0.550229482959497,0,0.1,0.66,8,131,1,349,1.08334967716021,0,NA,NA,1.13310072283741,0.287114914268451,NA,NA,8,1,347,128,NA,NA,NA,NA,NA,0.347224103553734,0.481084381494854,7,2,323,157,0.1,0.5,0.665357759525546,0,0
"4",-0.336872067029585,0.305677906347789,0.783017620335113,-0.374034210925423,0.779684592940524,0.04,0.27,5,227,4,246,0.211011337673339,0,5,6,7,155,2,325,0.641036775312139,0,38,53,5,328,4,147,1.57572173394275,0,0,0.382,8,86,1,387,0.546361407933121,0,4,6,9,90,0,390,1.43810260334385,0,30.4,54,8,239,1,236,2.33038728242255,1,0.05,0.46,8,155,1,325,1.35066993941776,0,NA,NA,0.111396495269635,0.73855981300942,NA,NA,7,2,345,129,NA,NA,NA,NA,NA,-0.00350874881757861,0.119601619029691,6,3,286,194,0.1,0.4,0.429249149988039,0,0
"5",-0.660078715597675,0.00408251377290787,0.984267891751565,-0.764690120297586,1.00957047105171,0.04,0.2,5,294,4,181,1.06617585869142,0,4,5,6,224,3,256,0.794641908145923,0,38,53,6,335,3,142,2.3828881624106,1,0.004,0.34,7,158,2,317,0.697531979735404,0,3.4,6,8,94,1,386,0.63647848542573,0,30.8,54,8,240,1,237,2.33039877269049,1,0.04,0.8,7,92,2,388,-0.230475100352673,0,NA,NA,0.353908620148551,0.551908850798386,NA,NA,6,3,357,117,NA,NA,NA,NA,NA,0.420773974675713,-0.187790634351026,6,3,211,269,0.2,0.5,1.35852377923076,0,0
"6",-0.119812275371753,0.0686106813304209,0.887495684008937,-0.143221106326379,0.884004401690705,0.04,0.32,5,188,4,284,-0.279986324732244,0,4,6,8,85,1,395,0.51505744301009,0,38,54,6,318,3,157,2.11380573092206,1,0.004,0.36,7,145,2,327,0.548220896225695,0,3.4,6,8,85,1,395,0.51505744301009,0,26.8,55.2,7,165,2,310,0.782385038060156,0,0.12,0.88,7,205,2,275,1.23238413823189,0,NA,NA,1.25837706704572,0.261958513337456,NA,NA,8,1,342,133,NA,NA,NA,NA,NA,0.631094441535874,0.504572027193536,5,4,151,329,0.3,0.6,1.53666383271464,0,0
"7",-0.227443238214689,0.163471353457473,0.706195443997847,-0.221162751223586,0.694463563082186,0.08,0.28,5,278,4,196,0.856472022969504,0,5,6,7,153,2,327,0.616608530411259,0,38,50,5,342,4,134,1.80122839890397,1,0.016,0.36,7,162,2,312,0.750267355273442,0,3.4,6,8,85,1,395,0.51505744301009,0,26.8,54,8,176,1,300,1.5967021393478,0,0.12,0.66,7,217,2,263,1.37390867319474,0,NA,NA,0.120434574021072,0.728563636144889,NA,NA,7,2,344,130,NA,NA,NA,NA,NA,0.397345440599113,0.124325027927639,5,4,212,268,0.2,0.5,0.681339143100443,0,0
"8",-0.225038257508663,-0.0113685558049441,0.703739726596914,-0.242739434019083,0.698513363068535,0.08,0.28,6,281,3,193,1.56684145144387,0,5,5,5,292,4,188,0.996600966037176,0,38,46,5,374,4,102,2.44599588507055,1,0.016,0.34,7,164,2,310,0.774485671127568,0,3,6,9,25,0,455,0.702855551819958,0,26.8,54,8,185,1,291,1.69642993189421,1,0.07,0.56,7,164,2,316,0.749733562033914,0,NA,NA,0.113826110433405,0.735829514394278,NA,NA,7,2,344,129,NA,NA,NA,NA,NA,0.197139286363472,0.120892083475016,6,3,219,261,0.15,0.5,1.25482515684155,0,0
"9",-0.301327982344921,0.172085826983371,0.894815320402715,-0.310347335121544,0.882486676334821,0.08,0.27,5,295,4,179,1.08883083182424,0,4,6,9,85,0,395,1.38890917201911,0,38,54,6,331,3,146,2.3116049690546,1,0.016,0.31,7,184,2,290,1.01358856130637,0,4,6,9,85,0,395,1.38890917201911,0,26.8,59.4,7,174,2,303,0.88156011262394,0,0.1,0.66,8,133,1,347,1.1060254901703,0,NA,NA,1.2145725621464,0.270428424748515,NA,NA,8,1,343,131,NA,NA,NA,NA,NA,0.316178836342711,0.496538069504186,7,2,318,162,0.1,0.5,0.725735377840405,0,0
"10",-0.18590728259955,-0.0492885025132591,1.15417466338053,-0.181729431049604,1.14690818859192,0.1,0.27,5,298,4,176,1.13120919585553,0,4,5,5,216,4,264,0.0331922213064319,0,43,51,5,407,4,69,3.39371374093487,1,0.032,0.34,7,188,2,286,1.06102462813625,0,3,6,9,25,0,455,0.702855551819958,0,35.6,59.4,7,281,2,195,2.21926379969326,1,0.07,0.8,7,120,2,360,0.190801091469645,0,NA,NA,0.0621876414341332,0.803071107954532,NA,NA,7,2,352,123,NA,NA,NA,NA,NA,0.331468253165429,0.0894980276827227,7,2,319,161,0.1,0.5,0.71370512118101,0,0
