"","Velocity","Substrate","Depth","Velocity_full","Depth_full","Velocity_25","Velocity_75","Velocity_25_Suit_Used","Velocity_25_UnSuit_Avail","Velocity_25_UnSuit_Used","Velocity_25_Suit_Avail","Velocity_t_stat_50","Velocity_p_50","Substrate_25","Substrate_75","Substrate_25_Suit_Used","Substrate_25_UnSuit_Avail","Substrate_25_UnSuit_Used","Substrate_25_Suit_Avail","Substrate_t_stat_50","Substrate_p_50","Depth_25","Depth_75","Depth_25_Suit_Used","Depth_25_UnSuit_Avail","Depth_25_UnSuit_Used","Depth_25_Suit_Avail","Depth_t_stat_50","Depth_p_50","Velocity_5","Velocity_95","Velocity_5_Suit_Used","Velocity_5_UnSuit_Avail","Velocity_5_UnSuit_Used","Velocity_5_Suit_Avail","Velocity_t_stat_90","Velocity_p_90","Substrate_5","Substrate_95","Substrate_5_Suit_Used","Substrate_5_UnSuit_Avail","Substrate_5_UnSuit_Used","Substrate_5_Suit_Avail","Substrate_t_stat_90","Substrate_p_90","Depth_5","Depth_95","Depth_5_Suit_Used","Depth_5_UnSuit_Avail","Depth_5_UnSuit_Used","Depth_5_Suit_Avail","Depth_t_stat_90","Depth_p_90","Instream_5","Instream_95","Instream_5_Suit_Used","Instream_5_UnSuit_Avail","Instream_5_UnSuit_Used","Instream_5_Suit_Avail","Instream_t_stat_90","Instream_p_90","Canopy_5","Canopy_95","Canopy_Chi","Canopy_P","Canopy_0.05","Canopy_0.1","OccCan","OccNoCan","AvailCan","AvailNoCan","Ratio_Pool","Ratio_Riffle","Ratio_Run","Mesohabitat_Riffle","Mesohabitat_Run","Instream","Canopy","Instream_25_Suit_Used","Instream_25_UnSuit_Used","Instream_25_Suit_Avail","Instream_25_UnSuit_Avail","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","C_Prob_Support0.05"
"1",-0.529639329875633,0.23858947722137,0.792060003421458,-0.478506312746547,0.755703474062692,0.0625,0.1225,2,54,4,15,0.650628736598885,0,5,5,5,49,1,25,2.41118514714524,1,53.5,60.25,2,63,4,8,1.54394212002526,0,0.05,0.145,5,45,1,24,2.34233282067823,1,3.5,5,5,43,1,31,1.96242804992281,1,52.25,62.75,4,61,2,10,3.20667014793586,1,0,0.5875,5,5,1,70,-0.9,0,NA,NA,0.43656559785592,0.508784769996532,NA,NA,4,2,58,16,NA,NA,NA,NA,NA,0.0937652467930765,-0.25867311112567,2,4,29,46,0.025,0.225,-0.258631634918556,0,0
"2",-1.03610453260234,-0.0591420288220114,2.32077384598123,-0.724504854557179,2.21900270343395,0.015,0.1,3,49,3,21,1.01147265068163,0,3,5,5,22,1,53,0.662114644226323,0,59.75,66.75,2,66,4,6,1.9392561165855,1,0,0.1225,5,33,1,37,1.44088067566862,0,3,6.5,5,6,1,69,-0.727002626221404,0,53.75,130.25,4,51,2,21,1.89109132912568,1,0,0.6,5,4,1,71,-1.10997866266832,0,NA,NA,0.166400679117148,0.683330651674899,NA,NA,5,1,57,18,NA,NA,NA,NA,NA,-0.0845075201646119,0.198671098596511,4,2,55,20,0,0.225,-0.353280902390487,0,0
"3",-1.33176580932501,0.151178992989989,2.67611865094639,-1.04328778678527,2.58420186996831,0.0125,0.0975,2,54,4,17,0.512282779369324,0,3.5,5,3,44,3,30,0.452685829514918,0,57,87.5,2,57,4,16,0.640833674070367,0,0,0.1,6,39,0,32,2.5842368714112,1,3,6.5,5,7,1,67,-0.565968479970679,0,52.75,136.75,4,50,2,23,1.74547509818181,1,0,0.1,6,30,0,45,1.95237412036791,1,NA,NA,0.1797137948993,0.671619316108906,NA,NA,5,1,56,18,NA,NA,NA,NA,NA,-2.09782493926087,0.206369686049544,4,2,31,44,0,0.075,1.20539161441391,0,0
"4",-0.281312005341398,0.136926716302875,2.58639746867604,-0.642537452755792,3.07144787067352,0.06,0.1375,2,57,4,12,0.961270160651778,0,5,5,5,47,1,27,2.25279272794349,1,53.5,84.25,2,51,4,20,0.268887466207646,0,0.05,0.2175,5,33,1,36,1.47058043788089,0,3.5,5,5,41,1,33,1.82753419519802,1,52.25,120.25,4,50,2,21,1.86305627737565,1,0.025,0.5125,4,31,2,44,0.383761289440099,0,NA,NA,1.88992866958969,0.169209967240784,NA,NA,3,3,56,18,NA,NA,NA,NA,NA,-0.00535898626061088,-0.493669543729966,3,3,19,56,0.1,0.225,1.3071393388448,0,0
"5",-0.720036744357706,0.383504868060625,2.53622989212112,-0.405130735512551,2.4338448871134,0.06,0.1,3,61,3,9,2.39456229224227,1,5,5,4,45,2,29,1.31494455240048,0,55,86.25,3,49,3,23,0.901387818865997,0,0.0125,0.1375,4,40,2,30,1.12568802786611,0,3.5,6.5,4,24,2,50,-0.0453137439047881,0,52.75,136.75,4,48,2,24,1.63532434528619,0,0,0.2125,5,22,1,53,0.662114644226323,0,NA,NA,0.24024024024024,0.624032654448589,NA,NA,4,2,56,18,NA,NA,NA,NA,NA,-0.746645342289419,-0.192179059508669,5,1,44,31,0,0.1,1.18928571428571,0,0
"6",-0.667071909588507,0.186732168544741,3.5847536495483,-1.25776769923427,4.20161252979098,0.0125,0.0975,2,52,4,18,0.406745838172621,0,3.5,5,3,46,3,28,0.588123294457446,0,58.25,120.25,2,54,4,18,0.449137103712257,0,0,0.205,5,16,1,54,0.34922476389377,0,3,6.5,5,7,1,67,-0.565968479970679,0,52.75,145.5,4,48,2,24,1.63532434528619,0,0,0.475,5,13,1,62,0.0415581386885649,0,NA,NA,0.24024024024024,0.624032654448589,NA,NA,4,2,56,18,NA,NA,NA,NA,NA,-0.379606987890811,-0.192179059508779,5,1,40,35,0,0.1,1.42302494707577,0,0
"7",-0.731008183744526,0.586453149393007,3.00885358319844,-0.568502048922271,2.97154622677894,0.0125,0.1,3,51,3,18,1.25129332678155,0,5,5,4,46,2,28,1.38633398642676,0,57,113.75,2,56,4,15,0.692219486407084,0,0,0.205,5,18,1,51,0.50889039532664,0,3.5,6.5,4,25,2,49,0.0224421100253617,0,52.75,145.5,4,51,2,20,1.95497341262847,1,0,0.475,5,11,1,64,-0.132697760539407,0,NA,NA,0.43656559785592,0.508784769996532,NA,NA,4,2,58,16,NA,NA,NA,NA,NA,-0.483995495600003,-0.258673111125855,4,2,28,47,0,0.075,1.41428571428571,0,0
"8",-0.53887704617608,0.191642807641909,3.63177193903047,-0.649553012199729,3.94225973851689,0.0525,0.0975,2,64,4,5,2.10693307229638,1,3.5,5,3,42,3,32,0.320873967407926,0,60,120.25,2,56,4,15,0.692219486407084,0,0.0125,0.205,4,26,2,43,0.211190812779982,0,3,6.5,5,8,1,66,-0.436592657244287,0,56,145.5,4,50,2,21,1.86305627737565,1,0,0.525,5,5,1,70,-0.9,0,NA,NA,0.43656559785592,0.508784769996532,NA,NA,4,2,58,16,NA,NA,NA,NA,NA,-0.0313649971148042,-0.258673111125982,2,4,26,49,0.025,0.25,-0.0660800788392917,0,0
"9",-0.339971054095205,0.490175117166462,3.50271185826099,-0.15139909387398,3.51014803642761,0.0925,0.1375,2,62,4,8,1.52334408476129,0,5,5,4,48,2,26,1.53439054818333,0,57,120.25,2,51,4,21,0.215046644448449,0,0.0225,0.2175,4,29,2,41,0.387234429640354,0,3.5,6.5,4,29,2,45,0.283170475109141,0,52.75,145.5,4,45,2,27,1.40263992691808,0,0,0.5125,5,5,1,70,-0.9,0,NA,NA,1.88992866958969,0.169209967240784,NA,NA,3,3,56,18,NA,NA,NA,NA,NA,-0.194409915302782,-0.493669543730397,4,2,50,25,0,0.2125,0,0,0
"10",-0.0262670554016649,0.161973583244553,0.965079390464465,0.042294695095286,0.957397110471983,0.1,0.145,3,57,3,15,1.62916133843971,0,5,5,5,46,1,29,2.13326065009683,1,55,62.75,3,65,3,9,2.49642033067522,1,0.0625,0.2025,4,39,2,33,0.981872613900341,0,3.5,5,5,40,1,35,1.72861498202971,1,52.75,72.75,4,55,2,19,2.13365182029016,1,0,0.5875,5,4,1,71,-1.10997866266832,0,NA,NA,0.224409836065574,0.635700193292639,NA,NA,5,1,56,19,NA,NA,NA,NA,NA,0.219168145991079,0.229886697766846,3,3,28,47,0.025,0.25,0.61425013293157,0,0
