Orange = less than 50 ,,,"DS lower thermal, BB Inactive",,,,,,,,,,,
Green = 50 - 84,,,"DS Prefer 63, BB >78",,,,,,,,,,,
Red = more than 90 ,,,Thermal Max for both,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
WET BEAVER,,,,,[Data from Hobo],,,,WEST CLEAR,,,,,[Data from USGS]
,,,Survey Day,Status,,,,,,,,Survey Date,Status,
March,orange ,,14,Inactive ,,,,,March,Orange end 23,,16,Inactive,
April,1-15 Orange ,,23,Active,,,,,April,Green,,25,Active,
May,Green,,17,Active,,,,,May,Green,,31,Active,
June,Green,,15,Active,2023,,,,June,Green,,15,Active,
July,Green,,-,-,,,,,July,Green,,21,Active,
August,Green,,-,-,,,,,August,Green,,-,-,
September ,Green,,15,Active,,,,,September,Green,,16,Active,
October,Green,,21,Active,,,,,October,Green,,22,Active,
November,Orange and green mix ,,18,Inactive ,,,,,November,8 start orange,,19,Inactive,
December 11- end,,,4,Inactive ,,,,,December,Orange,,-,-,
January,orange,,28,Inactive ,2023,,,,January,Orange,,-,-,
February,orange,,19,Inactive ,2023,,,,February,Orange,,-,-,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
No thermal max or min hit,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Active,April - October,,,,,,,,,,,,,
Non-Active,December - March,,,,,,,,,,,,,
