"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Ratio_Pool","RPool_95L","RPool_95H","RPool_80L","RPool_80H","RPool_Percent_Support","Ratio_Riffle","RRiffle_95L","RRiffle_95H","RRiffle_80L","RRiffle_80H","RRiffle_Percent_Support","Ratio_Run","RRun_95L","RRun_95H","RRun_80L","RRun_80H","RRun_Percent_Support","Mesohabitat_Riffle","MesoRiffle_95L","MesoRiffle_95H","MesoRiffle_80L","MesoRiffle_80H","MesoRiffle_Percent_Support","Mesohabitat_Run","MesoRun_95L","MesoRun_95H","MesoRun_80L","MesoRun_80H","MesoRun_Percent_Support","Velocity Coef","Velocity_95L","Velocity_95H","Velocity_80L","Velocity_80H","V_Percent_Support","Depth Coef","Depth_95L","Depth_95H","Depth_80L","Depth_80H","D_Percent_Support","Sub Coef","Sub_95L","Sub_95H","Sub_80L","Sub_80H","S_Percent_Support","VelFull Coef","VelFull_95L","VelFull_95H","VelFull_80L","VelFull_80H","VF_Percent_Support","DepthFull Coef","DepthFull_95L","DepthFull_95H","DepthFull_80L","DepthFull_80H","DF_Percent_Support","Instream Coef","Instream_95L","Instream_95H","Instream_80L","Instream_80H","I_Percent_Support","Canopy Coef","Canopy_95L","Canopy_95H","Canopy_80L","Canopy_80H","C_Percent_Support","Velocity_25","Velocity_75","Velocity_t_stat_50","Velocity_p_50","Velocity_5","Velocity_95","Velocity_t_stat_90","Velocity_p_90","Velocity_Min","Velocity_Max","Depth_25","Depth_75","Depth_t_stat_50","Depth_p_50","Depth_5","Depth_95","Depth_t_stat_90","Depth_p_90","Depth_Min","Depth_Max","Substrate_25","Substrate_75","Substrate_t_stat_50","Substrate_p_50","Substrate_5","Substrate_95","Substrate_t_stat_90","Substrate_p_90","Substrate_Min","Substrate_Max","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","Instream_5","Instream_95","Instream_t_stat_90","Instream_p_90","Instream_Min","Instream_Max","Canopy_Chi","Canopy_P","C_Prob_Support0.05","Canopy_Min","Canopy_Max"
"1","DS","WB","Active","Meso",44,20,509,0.581,0.316,0.886,0.415,0.778,0.998,0.838,0.503,1.205,0.622,1.071,0.803,2.142,0.667,3.789,1.212,3.155,0.956,0.376,-0.497,1.303,-0.199,0.95,0.798,1.234,-0.04,2.297,0.573,1.952,0.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","DS","WB","Inactive","Meso",42,23,513,0.758,0.317,1.195,0.465,1.047,0.865,1.231,0.769,1.69,0.929,1.527,0.852,0.979,0.265,1.697,0.515,1.435,0.52,0.444,-0.376,1.383,-0.102,1.011,0.844,0.11,-1.278,1.253,-0.608,0.863,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","DS","WC","Active","Meso",56,14,1124,0.863,0.227,1.627,0.442,1.354,0.644,0.93,0.413,1.45,0.6,1.252,0.579,2.274,0,5.629,0,4.334,0.852,0.223,-1.205,1.637,-0.762,0.906,0.512,-0.833,-14.613,2.8,-14.095,2.021,0.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","DS","WC","Inactive","Meso",16,12,260,1.54,1.018,2.184,1.141,1.945,0.978,0.664,0.224,1.071,0.424,0.922,0.963,0.722,0,2.084,0,1.755,0.723,-1.093,-2.357,-0.219,-1.673,-0.478,0.993,-6.081,-15.545,0.343,-15.408,0.008,0.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","BB","WB","Active","Meso",55,21,520,1.377,1.126,1.622,1.21,1.537,0.999,0.214,0,0.495,0.119,0.387,1,0.59,0,1.588,0,1.304,0.814,-3.209,-17.208,-0.898,-2.552,-1.181,1,-5.076,-15.22,0.226,-15.152,0.016,0.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","BB","WB","Inactive","Meso",54,27,525,1.132,0.75,1.536,0.879,1.394,0.736,0.537,0.238,0.913,0.27,0.778,0.991,1.522,0.863,2.245,1.082,1.967,0.944,-0.88,-1.894,-0.015,-1.512,-0.288,0.977,0.208,-0.542,0.892,-0.252,0.657,0.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","BB","WC","Active","Meso",82,17,1150,1.165,0.654,1.717,0.822,1.519,0.705,0.712,0.306,1.146,0.446,0.997,0.904,2.241,0,5.18,0.519,4.046,0.879,-0.566,-1.589,0.351,-1.172,0.022,0.892,-0.867,-14.926,1.711,-0.53,1.349,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","BB","WC","Inactive","Meso",27,18,271,0.886,0.421,1.358,0.587,1.178,0.705,0.939,0.589,1.31,0.714,1.178,0.643,1.643,0.578,2.875,0.781,2.415,0.886,-0.12,-0.93,0.842,-0.65,0.432,0.634,0.273,-0.847,1.33,-0.355,0.992,0.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","BB","WB","Active","RI",6,5,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.089,-1.65,0.724,-0.626,0.578,0.5116,0.314,-0.161,0.71,-0.1,0.604,0.8468,0.432,-0.038,0.831,0.236,0.761,0.9426,-0.083,-1.906,0.811,-0.688,0.701,0.4871,0.366,-0.153,0.785,-0.009,0.65,0.8997,-0.23,-4.055,0.757,-0.822,0.53,0.4494,-1.197,-8.664,0.142,-1.518,0.106,0.7124,0.117,0.318,0.1223,2e-04,0.055,0.418,-0.6938,0,0,0.81,22.622,32.168,0.4034,0,20.046,37.229,-0.1124,0,18,44,5.15,5.6,1.2397,0.1827,5.03,5.841,1.2397,0.1827,5,6,0.101,0.33,0.2431,0.0086,0.034,0.448,-0.6303,0.0086,0,0.7,1.162,0.445,0,0,1
"10","BB","WB","Active","PO",44,19,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.196,-0.911,0.248,-0.581,0.129,0.7305,0.294,0.003,0.571,0.109,0.476,0.9763,0.073,-0.292,0.509,-0.18,0.339,0.6229,-0.051,-0.81,0.457,-0.468,0.311,0.5162,0.282,-0.071,0.678,0.044,0.528,0.938,0.286,-0.132,0.599,0.054,0.499,0.9328,0.17,-0.245,0.662,-0.11,0.432,0.7773,0,0.034,0.4333,0.044,0,0.081,0.3159,0.0311,0,0.12,59.875,104.163,1.4999,0.4223,40.077,145.844,1.9604,0.693,26,151,3.861,5.617,0.5609,0.0811,1.664,6.581,NA,NA,1,7,0.001,0.257,-1.1979,0.0077,0,0.501,NA,NA,0,0.6,0.7636,0.531,0,0,1
