Species,Species_Abb,Stream,Stream_Abb,Group,Group_Abb,Mesohabitat,Mesohabitat_Abb
Black Bass,BB,Beaver,WB,"April,May,June,July,September,October",Active,None,Meso
Black Bass,BB,Beaver,WB,"November,December,January,February",Inactive,None,Meso
Black Bass,BB,Beaver,WB,March,March,None,Meso
Black Bass,BB,Clear,WC,"April,May,June,July,September,October",Active,None,Meso
Black Bass,BB,Clear,WC,"November,December,January,February",Inactive,None,Meso
Black Bass,BB,Clear,WC,March,March,None,Meso
Desert Sucker,DS,Beaver,WB,"April,May,June,July,September,October",Active,None,Meso
Desert Sucker,DS,Beaver,WB,"November,December,January,February",Inactive,None,Meso
Desert Sucker,DS,Beaver,WB,March,March,None,Meso
Desert Sucker,DS,Clear,WC,"April,May,June,July,September,October",Active,None,Meso
Desert Sucker,DS,Clear,WC,"November,December,January,February",Inactive,None,Meso
Desert Sucker,DS,Clear,WC,March,March,None,Meso
Black Bass,BB,Beaver,WB,"April,May,June,July,September,October",Active,Riffle,RI
Black Bass,BB,Beaver,WB,"April,May,June,July,September,October",Active,Pool,PO
Black Bass,BB,Beaver,WB,"April,May,June,July,September,October",Active,Run,RU
Black Bass,BB,Beaver,WB,"November,December,January,February",Inactive,Riffle,RI
Black Bass,BB,Beaver,WB,"November,December,January,February",Inactive,Pool,PO
Black Bass,BB,Beaver,WB,"November,December,January,February",Inactive,Run,RU
Black Bass,BB,Beaver,WB,March,March,Riffle,RI
Black Bass,BB,Beaver,WB,March,March,Pool,PO
Black Bass,BB,Beaver,WB,March,March,Run,RU
Black Bass,BB,Clear,WC,"April,May,June,July,September,October",Active,Riffle,RI
Black Bass,BB,Clear,WC,"April,May,June,July,September,October",Active,Pool,PO
Black Bass,BB,Clear,WC,"April,May,June,July,September,October",Active,Run,RU
Black Bass,BB,Clear,WC,"November,December,January,February",Inactive,Riffle,RI
Black Bass,BB,Clear,WC,"November,December,January,February",Inactive,Pool,PO
Black Bass,BB,Clear,WC,"November,December,January,February",Inactive,Run,RU
Black Bass,BB,Clear,WC,March,March,Riffle,RI
Black Bass,BB,Clear,WC,March,March,Pool,PO
Black Bass,BB,Clear,WC,March,March,Run,RU
Desert Sucker,DS,Beaver,WB,"April,May,June,July,September,October",Active,Riffle,RI
Desert Sucker,DS,Beaver,WB,"April,May,June,July,September,October",Active,Pool,PO
Desert Sucker,DS,Beaver,WB,"April,May,June,July,September,October",Active,Run,RU
Desert Sucker,DS,Beaver,WB,"November,December,January,February",Inactive,Riffle,RI
Desert Sucker,DS,Beaver,WB,"November,December,January,February",Inactive,Pool,PO
Desert Sucker,DS,Beaver,WB,"November,December,January,February",Inactive,Run,RU
Desert Sucker,DS,Beaver,WB,March,March,Riffle,RI
Desert Sucker,DS,Beaver,WB,March,March,Pool,PO
Desert Sucker,DS,Beaver,WB,March,March,Run,RU
Desert Sucker,DS,Clear,WC,"April,May,June,July,September,October",Active,Riffle,RI
Desert Sucker,DS,Clear,WC,"April,May,June,July,September,October",Active,Pool,PO
Desert Sucker,DS,Clear,WC,"April,May,June,July,September,October",Active,Run,RU
Desert Sucker,DS,Clear,WC,"November,December,January,February",Inactive,Riffle,RI
Desert Sucker,DS,Clear,WC,"November,December,January,February",Inactive,Pool,PO
Desert Sucker,DS,Clear,WC,"November,December,January,February",Inactive,Run,RU
Desert Sucker,DS,Clear,WC,March,March,Riffle,RI
Desert Sucker,DS,Clear,WC,March,March,Pool,PO
Desert Sucker,DS,Clear,WC,March,March,Run,RU
