Orange = less than 50 ,,,"DS lower thermal, BB Inactive",,,,,,,,,,,
Green = 50 - 84,,,"DS Prefer 63, BB >78",,,,,,,,,,,
Red = more than 90 ,,,Thermal Max for both,,,,,,,,,,,
,,,,,,,,,,,,,,
No thermal max or min hit,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,West Clear,,,,,[Data from USGS]
March,orange ,,,Dormant ,,,,,November 8th - March 23rd <50 degrees (Orange),,,,,
April,1-15 Orange ,,23,Active,,,,,,,,,,
May,Green,,,Active,,,,,,,,,,
June,Green,,,Active,,,,,,,,,,
July,Green,,,Active,,,,,,,,,,
August,Green,,,Active,,,,,,,,,,
September ,Green,,,Active,,,,,,,,,,
October,Green,,,Active,,,,,,,,,,
November,Orange and green mix ,,18,Dormant ,,,,,,,,,,
December 11- end,,,4,Dormant ,,,,,,,,,,
January,orange,,,Dormant ,,,,,,,,,,
February,orange,,,Dormant ,,,,,,,,,,
