"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1","BB","WB","Active","RI",6,5,203,0.122,0.314,0.065,0.41,0.044,0.31,0,0.603,22.425,31.635,20.005,36.583,14.955,28.9,6.183,46.134,5.155,5.605,5.031,5.841,4.03,5.99,4,6.192,0.096,0.327,0.032,0.447,0.01,0.356,0,0.627,0.13,0.565,0.026,0.809,0,1,0,1
"2","BB","WB","Active","PO",44,19,273,0,0.035,0,0.08,0,0.042,0,0.101,60.368,104.4,39.445,145.347,35.46,96.15,18.163,151,3.935,5.64,1.732,6.553,3.68,5.957,1,7,0.002,0.255,0,0.511,0,0.121,0,0.467,0.35,1,0.006,1,0,1,0,1
"3","BB","WB","Active","RU",5,3,44,0.016,0.04,0.006,0.05,0.059,0.165,0.001,0.5,56.583,60.188,55.14,61.63,25.26,54.02,11.674,74.58,4.832,5.378,4.615,5.595,5,6.48,3.002,7,0.204,0.255,0.183,0.276,0,0.202,0,0.469,0.7,0.9,0.62,0.98,0,1,0,1
"4","BB","WB","Inactive","RI",8,8,150,0.03,0.076,0.009,0.203,0.024,0.309,0,0.611,29.042,39.795,22.082,42.665,20.03,34.465,12.408,46.998,4.2,5,3.438,5,4.892,5.605,3.88,6.322,0,0.076,0,0.135,0.006,0.246,0,0.533,0,0.848,0,0.974,0.018,1,0,1
"5","BB","WB","Inactive","PO",15,9,143,0.008,0.056,0.002,0.067,0,0.031,0,0.104,39.432,80.665,33.807,120.445,38.48,129.158,20.02,151,3.76,4.932,2.135,5.306,2.728,5,1,7,0.005,0.266,0,0.489,0,0,0,0.178,0.138,0.91,0.018,0.99,0,1,0,1
"6","BB","WB","Inactive","RU",15,12,116,0.03,0.137,0.012,0.225,0.024,0.18,0,0.42,38.68,58.63,31.462,69.096,29.575,54.205,15.229,80.141,4.88,5.35,4.296,6.142,4.04,5.15,2.685,7,0.005,0.143,0,0.402,0,0.12,0,0.382,0.28,1,0.02,1,0,1,0,1
"7","BB","WB","March","RI",3,3,47,0.158,0.316,0.095,0.379,0.238,0.791,0.062,1.296,25.828,32.702,23.078,35.452,27.442,43.22,21.186,51.236,4.543,4.848,4.42,4.97,5,6,4.039,6.606,0.243,0.347,0.201,0.389,0.204,0.614,0.016,0.916,0.542,0.848,0.421,0.97,0,1,0,1
"8","BB","WB","March","PO",11,11,58,0,0.141,0,0.207,0,0.066,0,0.208,61.415,122.757,51.604,148.252,46.735,151,25.949,151,3.25,5.805,1.701,5.989,2.18,4.985,1.058,6.181,0.003,0.169,0,0.331,0,0.078,0,0.361,0.868,1,0.197,1,0.06,1,0,1
"9","BB","WB","March","RU",2,2,11,0.432,0.432,0.432,0.432,0.32,0.588,0.14,0.977,56.64,56.64,56.64,56.64,39.225,61.333,33.182,90.312,5.08,5.08,5.08,5.08,4.76,6.2,3.602,6.74,0,0,0,0,0.073,0.336,0.014,0.677,1,1,1,1,0.12,0.968,0.013,1
"10","BB","WC","Active","RI",37,10,618,0.053,0.212,0.011,0.405,0.051,0.299,0,0.732,34.868,48.5,26.528,56.127,24.005,41.557,11.986,52.126,4.197,5.043,3.498,5.41,4,6,3,6,0.048,0.234,0.011,0.446,0.1,0.4,0,0.702,0.272,0.973,0.054,0.988,0.078,1,0,1
