"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Velocity Coef","Velocity_95L","Velocity_95H","Velocity_80L","Velocity_80H","V_Percent_Support","Depth Coef","Depth_95L","Depth_95H","Depth_80L","Depth_80H","D_Percent_Support","Sub Coef","Sub_95L","Sub_95H","Sub_80L","Sub_80H","S_Percent_Support","VelFull Coef","VelFull_95L","VelFull_95H","VelFull_80L","VelFull_80H","VF_Percent_Support","DepthFull Coef","DepthFull_95L","DepthFull_95H","DepthFull_80L","DepthFull_80H","DF_Percent_Support","Instream Coef","Instream_95L","Instream_95H","Instream_80L","Instream_80H","I_Percent_Support","Canopy Coef","Canopy_95L","Canopy_95H","Canopy_80L","Canopy_80H","C_Percent_Support","Velocity_25","Velocity_75","Velocity_t_stat_50","Velocity_p_50","Velocity_5","Velocity_95","Velocity_t_stat_90","Velocity_p_90","Velocity_Min","Velocity_Max","Depth_25","Depth_75","Depth_t_stat_50","Depth_p_50","Depth_5","Depth_95","Depth_t_stat_90","Depth_p_90","Depth_Min","Depth_Max","Substrate_25","Substrate_75","Substrate_t_stat_50","Substrate_p_50","Substrate_5","Substrate_95","Substrate_t_stat_90","Substrate_p_90","Substrate_Min","Substrate_Max","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","Instream_5","Instream_95","Instream_t_stat_90","Instream_p_90","Instream_Min","Instream_Max","Canopy_Chi","Canopy_P","C_Prob_Support0.05","Canopy_Min","Canopy_Max"
"1","BB","WB","Active","RI",6,5,197,0.035,0.035,0.035,0.035,0.035,1,0.336,0.336,0.336,0.336,0.336,1,0.359,0.359,0.359,0.359,0.359,1,0.098,0.098,0.098,0.098,0.098,1,0.349,0.349,0.349,0.349,0.349,1,-0.363,-0.363,-0.363,-0.363,-0.363,1,-0.581,-0.581,-0.581,-0.581,-0.581,1,0.15,0.305,0.2925,0,0.03,0.309,-0.6775,0,0,0.81,19,32,-0.2842,0,18.2,41.6,-0.6537,0,18,44,5,5.5,0.9261,0,5,5.9,0.9261,0,5,6,0,0.225,0.1682,0,0,0.405,-0.6203,0,0,0.7,1.0463,0.306,0,0,1
"2","BB","WB","Active","PO",44,19,229,-0.038,-0.038,-0.038,-0.038,-0.038,1,0.385,0.385,0.385,0.385,0.385,1,-0.054,-0.054,-0.054,-0.054,-0.054,1,0.16,0.16,0.16,0.16,0.16,1,0.456,0.456,0.456,0.456,0.456,1,0.141,0.141,0.141,0.141,0.141,1,0.407,0.407,0.407,0.407,0.407,1,0,0.03,1.0103,0,0,0.113,-0.6793,0,0,0.12,58,111.75,0.676,0,28.6,151,1.2108,0,26,151,3.25,5,0.0443,0,1.65,6.35,0.6448,0,1,7,0,0.137,-0.283,0,0,0.535,-0.8567,0,0,0.6,1.6352,0.201,0,0,1
"3","BB","WB","Active","RU",5,3,39,-10.2,-10.2,-10.2,-10.2,-10.2,1,0.71,0.71,0.71,0.71,0.71,1,0.152,0.152,0.152,0.152,0.152,1,-9.607,-9.607,-9.607,-9.607,-9.607,1,0.186,0.186,0.186,0.186,0.186,1,0.436,0.436,0.436,0.436,0.436,1,8.462,8.462,8.462,8.462,8.462,1,0.002,0.007,NA,NA,0.001,0.01,NA,NA,0,0.13,55.75,61.25,-0.384,0,53.55,63.45,-0.5628,0,52,64,5.25,5.75,NA,NA,5.05,5.95,NA,NA,3,6,0.225,0.275,NA,NA,0.205,0.295,NA,NA,0,0.3,2.0043,0.157,0,0,1
"4","BB","WB","Inactive","RI",11,11,186,-0.692,-0.692,-0.692,-0.692,-0.692,1,0.306,0.306,0.306,0.306,0.306,1,-0.937,-0.937,-0.937,-0.937,-0.937,1,-0.761,-0.761,-0.761,-0.761,-0.761,1,0.365,0.365,0.365,0.365,0.365,1,-1.269,-1.269,-1.269,-1.269,-1.269,1,-0.501,-0.501,-0.501,-0.501,-0.501,1,0.048,0.155,2.5235,1,0.021,0.437,0.9293,0,0,0.5,25.75,41.25,0.5515,0,19.4,43.3,0.3383,0,18,44,4,5,1.0819,0,3.35,5,1.0819,0,3,5,0,0.15,2.1226,1,0,0.247,1.2855,0,0,0.45,1.9658,0.161,0,0,1
"5","BB","WB","Inactive","PO",26,16,175,0.254,0.254,0.254,0.254,0.254,1,-0.205,-0.205,-0.205,-0.205,-0.205,1,0.073,0.073,0.073,0.073,0.073,1,0.224,0.224,0.224,0.224,0.224,1,-0.093,-0.093,-0.093,-0.093,-0.093,1,0.598,0.598,0.598,0.598,0.598,1,-0.382,-0.382,-0.382,-0.382,-0.382,1,0,0.062,-0.7958,0,0,0.187,-0.953,0,0,0.22,45.25,106.75,0.9695,0,33.1,151,0.6495,0,32,151,3.5,5,0.7254,0,1,6,1.1931,0,1,6,0,0.275,-2.7879,0,0,0.545,-2.1373,0,0,0.6,1.8637,0.172,0,0,1
"6","BB","WB","Inactive","RU",17,14,110,-0.285,-0.285,-0.285,-0.285,-0.285,1,0.211,0.211,0.211,0.211,0.211,1,0.155,0.155,0.155,0.155,0.155,1,-0.245,-0.245,-0.245,-0.245,-0.245,1,0.2,0.2,0.2,0.2,0.2,1,0.033,0.033,0.033,0.033,0.033,1,0.833,0.833,0.833,0.833,0.833,1,0.022,0.165,-0.235,0,0.004,0.32,0.7596,0,0,0.5,39.25,59.5,0.0597,0,33.25,66.6,1.3811,0,30,79,5,5,0.8903,0,4,6.55,1.2931,0,3,7,0,0.1,1.1603,0,0,0.375,-0.3021,0,0,0.6,4.8337,0.028,1,0,1
"7","BB","WC","Active","RI",37,10,581,-1.496,-1.496,-1.496,-1.496,-1.496,1,0.326,0.326,0.326,0.326,0.326,1,-0.52,-0.52,-0.52,-0.52,-0.52,1,-1.603,-1.603,-1.603,-1.603,-1.603,1,0.385,0.385,0.385,0.385,0.385,1,-1.214,-1.214,-1.214,-1.214,-1.214,1,-0.189,-0.189,-0.189,-0.189,-0.189,1,0.005,0.11,0.9688,0,0,0.246,1.0369,0,0,1.2,30,45,0.8622,0,21.6,51.4,-0.2017,0,4,66,3.5,5,0.9524,0,2.3,5,1.052,0,2,6,0.05,0.2,1.6122,0,0,0.2,2.4467,1,0,1,0.2429,0.622,0,0,1
"8","BB","WC","Active","PO",31,10,406,0.189,0.189,0.189,0.189,0.189,1,0.063,0.063,0.063,0.063,0.063,1,-0.393,-0.393,-0.393,-0.393,-0.393,1,0.311,0.311,0.311,0.311,0.311,1,0.449,0.449,0.449,0.449,0.449,1,0.289,0.289,0.289,0.289,0.289,1,-0.078,-0.078,-0.078,-0.078,-0.078,1,0,0.08,-0.6685,0,0,0.096,-0.7788,0,0,0.21,57.5,133,-0.072,0,23.2,151,-1.1782,0,10,151,1,5.75,0.4227,0,1,6.75,0.381,0,1,7,0,0.35,-1.0056,0,0,0.78,-1.8185,0,0,0.9,0.0413,0.839,0,0,1
"9","BB","WC","Active","RU",14,9,81,-0.379,-0.379,-0.379,-0.379,-0.379,1,1.332,1.332,1.332,1.332,1.332,1,-0.113,-0.113,-0.113,-0.113,-0.113,1,-0.439,-0.439,-0.439,-0.439,-0.439,1,1.393,1.393,1.393,1.393,1.393,1,-0.007,-0.007,-0.007,-0.007,-0.007,1,0.221,0.221,0.221,0.221,0.221,1,0.04,0.142,-0.4493,0,0.005,0.218,-0.3417,0,0,0.27,57.75,66.5,1.8209,1,48.5,99.25,1.0661,0,44,110,3.25,5.75,-0.4726,0,3,6,0.7355,0,2,6,0.05,0.3,0.3938,0,0,0.413,0.1009,0,0,0.45,0.2062,0.65,0,0,1
"10","BB","WC","Inactive","RI",14,10,131,-0.721,-0.721,-0.721,-0.721,-0.721,1,0.544,0.544,0.544,0.544,0.544,1,0.403,0.403,0.403,0.403,0.403,1,-1.02,-1.02,-1.02,-1.02,-1.02,1,0.689,0.689,0.689,0.689,0.689,1,0.447,0.447,0.447,0.447,0.447,1,0.084,0.084,0.084,0.084,0.084,1,0,0.355,0.2407,0,0,0.409,0.7805,0,0,0.97,35.5,60.5,-0.3387,0,30.9,64.1,0.2407,0,27,70,4.5,6,0.186,0,3.3,6,0.2824,0,3,6,0.2,0.525,0.1061,0,0.03,0.685,-0.3062,0,0,0.7,0.0415,0.839,0,0,1
